,combinedPval,adjustedPval,cluster
MYL4,5.159005875858855e-56,5.340072503831832e-51,0
UBC,1.6863740882672177e-55,8.727805430567629e-51,4
NDUFB4,9.993235228994415e-55,3.447989913482618e-50,4
SPARC,1.6630300578796668e-54,4.303494364430549e-50,1
RPL7,7.548774138683948e-54,1.5627429852039905e-49,1
RPL24,1.8358431896148333e-53,3.1671268890788764e-49,1
DYL1,5.115250799964511e-53,7.563973925097347e-49,3
RPL8,1.1686960136194992e-52,1.512142454826239e-48,1
RPS8,1.3798211287313043e-52,1.5869433089002683e-48,1
RPL10A,2.1097544884013048e-52,1.9852735910133135e-48,1
RPL39,1.9858462229626863e-52,1.9852735910133135e-48,1
RPL6,4.668295208462194e-52,4.026782724286124e-48,1
RPS7,5.285016344736481e-52,4.20808122040801e-48,1
EEF1A1,6.042308952789751e-52,4.467412171325111e-48,1
RPS6,9.042629017751118e-52,6.239999945985163e-48,1
COX7A2,1.0870886641059797e-51,7.032765158768597e-48,4
EIF4G2,1.2093614935464917e-51,7.363568752997282e-48,1
RPL27A,1.7223090069748824e-51,9.904206775665699e-48,1
EEF1D,3.266836726399716e-51,1.7797334354859093e-47,1
RPL27,4.6996410186320355e-51,2.4322926146405275e-47,1
RPL26L1,9.671749245579234e-51,4.767238333921564e-47,1
RPS24,1.0850877440596373e-50,5.105323993992739e-47,1
CIRBP,1.2121756634717727e-50,5.455302727832566e-47,3
RPL3,1.4369036570858276e-50,6.197228928805031e-47,1
RPS14,1.5512825636703115e-50,6.422912912500218e-47,1
RPL12,1.769892531254407e-50,7.046195354087811e-47,1
RPL11,1.8516555212895133e-50,7.098679383659076e-47,1
RPL37A,1.9620319988028656e-50,7.25319219893112e-47,1
RPL9,2.0485459115206506e-50,7.311876289522937e-47,1
RPL35,2.283048277304201e-50,7.623151176371445e-47,1
RPL23,2.2225480649919663e-50,7.623151176371445e-47,1
SLC25A6,2.3625798973881765e-50,7.642186941956201e-47,4
RPS11,3.402196511797906e-50,1.0671527458831088e-46,1
RPL7A,4.1371330981437844e-50,1.2595102527675804e-46,1
ENSGALG00000051598,4.99714299936736e-50,1.477865341322451e-46,1
NME2,5.484911118312331e-50,1.5770600293535294e-46,1
