,combinedPval,adjustedPval,cluster
MYH15,2.6702183890229812e-135,3.127895927048283e-130,3
MYH7,1.4781439125979704e-109,8.657494725549604e-105,7
SERPINE2,1.4075681886417803e-88,5.496088288002401e-84,7
MYH1F,1.679390368235484e-85,4.918098004944378e-81,7
MYH1D,2.7015482930075683e-81,6.3291916025748625e-77,7
TUBAL3,7.253190431154349e-81,1.4160654986734625e-76,7
CYTB,9.865988038986719e-80,1.651003738673068e-75,3
ND1,4.384466301339879e-79,5.706630315174497e-75,3
COX3,4.186363594989851e-79,5.706630315174497e-75,3
COII,3.074782135956754e-78,3.2743656539163445e-74,3
ND5,2.8624991868518945e-78,3.2743656539163445e-74,3
ATP6,5.635405162432343e-78,5.501098376853676e-74,3
ND4,8.269410479893203e-78,6.937882487271395e-74,3
ND3,8.291812311742959e-78,6.937882487271395e-74,3
FABP3,2.4513629795138037e-74,1.9143523518173626e-70,3
COX1,9.709521817245606e-74,7.108588446969064e-70,3
MYL10,4.164008846766055e-72,2.86924896910733e-68,3
ACTA1,5.543454663594077e-70,3.6075595363104987e-66,3
FBLN5,2.7353895351804117e-68,1.686440767926911e-64,1
SFRP1,2.8740512813278224e-67,1.6833329689341424e-63,1
NOV,1.142280846826196e-61,6.371755642625528e-58,1
LTBP2,2.538784546523591e-60,1.3517882819433922e-56,1
ND2,1.0747136791844346e-59,5.4735671803560625e-56,3
MDK,4.03977916560237e-59,1.9717502087419167e-55,1
FSTL1,1.1247718031576232e-58,5.2702343095506315e-55,1
NPY,1.6709745164046887e-58,7.528387948096603e-55,1
CPE,1.2711730925632118e-57,5.515011715822369e-54,1
WNT2B,2.182201620532264e-57,9.12940249826013e-54,1
MFAP2,3.21367118837372e-57,1.2981024016753716e-53,1
IRX4,2.4384829074781014e-56,9.521469337280692e-53,3
SDHAF4,5.349450151351202e-56,2.0214032666760203e-52,6
ENSGALG00000016471,2.072863532741701e-55,7.587981178856444e-52,1
DCN,8.653692737822236e-55,3.0718007571891e-51,1
SESTD1,4.9292933712655946e-54,1.6982876891478917e-50,7
PLAC9,6.170492046852246e-54,2.0651769287674494e-50,1
CSRP3,7.290340878675944e-54,2.372197515436154e-50,3
CKB,1.7899065061325113e-53,5.66675106237954e-50,3
ELN,1.2171315239710591e-52,3.751970597888583e-49,1
ENSGALG00000036956,1.4085274242414928e-52,4.230641373689294e-49,3
PPIC,2.0836102679377713e-52,6.101856778298187e-49,1
COX6A1,5.103682638558859e-52,1.4581604556976782e-48,3
DES,5.335042174914667e-52,1.4879696694603688e-48,3
ENSGALG00000028183,5.890882641583825e-52,1.6047871099561553e-48,3
POPDC2,1.3535508995303873e-51,3.603524071202852e-48,3
MYL9,2.3817639862322665e-51,6.200000471332294e-48,3
CO6,2.4787722966345596e-51,6.312251790044609e-48,1
S100A11,1.2316443889803792e-50,3.0696791674822704e-47,1
OSR1,3.3205038551538024e-50,8.10341840622815e-47,1
ACTG1,7.675871128560851e-50,1.8350043866069494e-46,1
MYL3,8.618600024482364e-50,2.0191669733276337e-46,3
FBLN1,6.84886152041173e-49,1.5428388052078125e-45,1
EFEMP1,6.723960348669819e-49,1.5428388052078125e-45,1
MYOM2,1.3004291185491924e-48,2.8741956512978096e-45,3
RPL22L1,3.971475058693728e-48,8.615164844949344e-45,9
NPC2,7.837150391901017e-48,1.6691716637564488e-44,1
OLFML3,2.2455964176620164e-47,4.69730966941707e-44,1
IGFBP7,7.956048209026076e-47,1.6350387977933246e-43,3
SLC25A6,1.097568028074962e-46,2.2167104375840148e-43,3
CYP1B1,1.3282668539787586e-46,2.6371743058087664e-43,1
SEC61B,2.184379391595289e-46,4.264639570422984e-43,1
EEF1A2,4.327604048124997e-46,8.31042425473898e-43,3
ACTC1,3.0772088459537764e-45,5.813943337600919e-42,3
CST3,4.572450397262336e-45,8.501860320466531e-42,1
ENSGALG00000048305,1.0441247776060862e-44,1.9110759188216927e-41,3
KCNJ5,1.2440092787112823e-44,2.2418976158466293e-41,7
ENSGALG00000050984,1.936419168277886e-44,3.436852941030368e-41,7
RPL11,2.279503178505628e-44,3.98539077801474e-41,9
ITGB1BP3,2.5293851129199514e-44,4.35724075932105e-41,3
ENSGALG00000045362,1.096554385979227e-43,1.8616009748525654e-40,3
ND6,1.330896587918171e-43,2.2271618754828777e-40,3
ENSGALG00000054443,4.649128306521529e-43,7.670412063774899e-40,2
