,elbo,Recon,SVGP_KL,GAT_KL,alignment,KMeans,OT
0,199.92934339573213,1980.3148642723818,-144.38993206217316,2619.2669491404695,16.35930273579892,0.0,0.0
1,203.6933282035011,1861.800255269062,-126.18617337733448,4311.345255997121,11.837776371271243,32.797731761346114,0.0
2,202.3097147959645,1845.807548777595,-72.29625678467123,4517.152901038271,6.223426768063705,21.956505943605496,0.0
3,199.7864093897427,1833.8594928130524,-46.105943907154725,3807.7453668397848,4.478851530969282,17.40017246510122,0.0
4,197.74603699976785,1826.6403026636162,-31.68346953384719,3945.1193140909522,3.973622538107576,16.167447346475264,0.0
5,194.3560863097431,1817.9314473510583,-20.219091824811606,4114.016601547932,4.137266470089643,16.282673550677114,0.0
6,192.22578089484355,1809.7007708393705,-14.496647148489888,4048.917488685306,4.44917560114278,17.07906212829786,0.0
7,191.81930158510318,1804.956050045154,-12.45376381851661,4013.698013348463,2.9552150972639897,19.091705965648863,0.0
8,191.77307249721235,1805.555822812349,-10.679960396184722,3569.7869670797754,3.679819873513316,19.485612149703304,0.0
9,193.8602797435952,1798.2704496732854,-11.427175061960089,4046.660859059961,6.2721971328665,27.16891421309942,0.0
10,183.69589750030556,1803.5654609480512,-9.393875586392028,3897.850682571326,7.028571429586018,22.46709194284717,0.0
11,184.07362526319307,1801.77085918613,-8.64755810635859,3895.1841047663365,5.468448024312009,20.9542032103633,0.0
12,183.64892123665743,1792.024462637359,-8.510635756694569,3889.6887026218064,4.052542995389421,19.50124651781449,0.0
13,183.9199565741933,1787.9601237742736,-8.445627190553115,3948.6893944908243,3.1572776075695623,18.796593393939112,0.0
14,184.04069938835013,1784.0782620995174,-7.346635266461954,4413.9955433917985,3.559934791262896,18.968260383481223,0.0
15,184.57080464797002,1785.8570673660147,-6.430853177055656,3877.248678344411,3.6700474197319437,20.14941713033071,0.0
16,185.14905513494318,1784.9717507904777,-6.003049767866173,3824.7939661684977,6.140157600284457,20.53555038530424,0.0
17,184.3495768878547,1781.2716649959582,-5.00099273594085,4057.2009460448944,3.5578889692742757,19.602064815683985,0.0
18,184.2375677632786,1777.9982134890001,-4.460365386274271,4540.82291150442,3.9132063467525104,20.240511795334694,0.0
19,183.05872889231526,1778.4282612150407,-2.740620020556821,3802.121739514373,3.4697165465515685,20.22160923703441,0.0
20,180.515862625659,1776.4810043715647,-2.6114450923996855,4351.564733642078,3.304767953629604,21.021289197753326,0.0
21,180.88072407792654,1775.4626553444155,-4.0888919603725755,3955.2697957960863,3.699934819886587,21.60048885879466,0.0
22,180.7460158616978,1772.7814998953963,-2.5629232567129066,4225.045344983813,3.5552543823809333,21.77251248079076,0.0
23,180.96435037705726,1771.9378882157698,-2.4790114873841502,4430.243218137695,4.193209459362238,21.64512841515006,0.0
24,180.89397056883797,1770.3177401510343,-2.0735719129566634,4495.705415093347,3.587388608596732,22.244583861829064,0.0
25,181.80268292140704,1771.058801720907,-3.3990650549534847,4057.2866015552163,3.963141386043213,21.952274230797492,0.0
26,181.64093573906433,1768.614750472905,-2.7354662922646185,4226.2650357048105,4.49684090052347,22.65870322792246,0.0
27,180.99751836501866,1767.4924863793406,-1.8624596684760717,3952.8351520871465,3.8915134512156406,21.6011309882106,0.0
28,181.5733101270773,1768.962200870757,-2.17301547547836,4166.475679786004,3.535139779413181,21.68516113698989,0.0
29,181.04403241002842,1765.6139891243313,-1.6730165437172675,4437.282528549136,3.4235944291962896,21.908309124752243,0.0
30,179.3050142950068,1764.3655634326658,-1.125873451264556,4354.953600309403,3.147764492110503,21.18186142498209,0.0
31,179.82737764219976,1765.9730335295799,-2.078406402006908,4133.631717756754,3.589218046762903,22.49948672589126,0.0
32,179.85330728020145,1764.898989410176,-1.4061503136424562,4178.308123725192,3.7038179359665606,22.93965670486181,0.0
33,179.98057021041058,1765.3557906466094,-0.7825544226958073,4600.166506247735,5.333810906485334,22.16827077667561,0.0
34,179.9205565777472,1763.9427353168708,-1.2008005530700074,4447.408024345781,3.9677726680706,22.044447555904455,0.0
35,179.83728135095612,1759.9473466473805,-1.8931952765347435,4283.518345031404,3.227052500666302,21.44891963380886,0.0
36,179.60768717059452,1760.013338706628,-1.1892979314735612,4148.014693318414,3.4230879325974293,21.35664278455969,0.0
37,179.964097394875,1757.7574928851466,-1.6351463783763849,4283.837301331865,3.6421897673068786,22.511429346330104,0.0
38,179.77777601488515,1757.482668969831,-1.0608231036052305,4404.471652710656,4.858582272133766,22.545452425334283,0.0
39,180.14079616158608,1760.032698788392,-1.2322059239070313,4354.046098861491,4.489674791741321,21.441688621702614,0.0
40,178.65540985680877,1757.4322392171566,-1.4042006195567411,4460.169314966659,2.970848685937797,21.690841350026055,0.0
41,178.87462323765772,1758.603609621138,-1.466272702995002,4161.189286165314,3.0283024715331255,21.48685829474511,0.0
42,179.4855753749804,1760.1988698683888,-1.2715835200261154,4525.735244195766,4.529738179257974,23.058243417909175,0.0
43,179.1722160881587,1759.813460283453,-0.7976935091472797,4411.429054912136,3.378745926065542,21.725445089714544,0.0
44,179.11332624736127,1757.0465264675624,-1.2802721609314176,4472.4592899567715,2.981381152608636,21.51180691975892,0.0
45,179.25086571943396,1755.912511302729,-1.1534147747978296,4474.4806201147285,3.75301515764684,22.601576239859906,0.0
46,179.90943250302308,1758.7706068013854,-1.750299250855733,4396.021862168239,4.051224410562467,21.374676450980274,0.0
47,179.59342478746066,1754.1955895955264,-1.8067331979364554,4428.701537608836,3.4393318624693148,21.22349249344639,0.0
