,combinedPval,adjustedPval,cluster
MYH15,6.72142356210023e-174,7.55531636171581e-169,1
LDHB,2.8638112183867435e-162,1.6095548476624927e-157,1
CKB,3.4661812624341903e-158,1.2987375746018727e-153,1
MYH7,9.067360836266642e-152,2.548075532321472e-147,2
MYH1D,1.458223491884631e-141,3.2782757121265976e-137,2
ACTA1,7.25616130650594e-133,1.3593993825806744e-128,1
FABP3,1.5867389030598862e-132,2.5479964571062617e-128,1
MYL10,1.8460461604075966e-128,2.593844635616898e-124,1
SESTD1,5.848677197579258e-90,7.304769776984104e-86,2
NDUFA5,3.271394868610016e-86,3.677260173843188e-82,1
CYCS,1.0641916512933147e-81,1.0874731738180404e-77,1
COX6A1,9.723724618952237e-80,9.108414687209622e-76,1
ENSGALG00000045362,3.891889490448154e-74,3.365181849385214e-70,1
UQCRB,7.042230197625472e-73,5.654231316530344e-69,1
ENSGALG00000051266,9.030827776585799e-72,6.767491065930917e-68,1
ATP5MF,1.0405539702260478e-70,7.310313771202687e-67,1
UQCRQ,2.8349931489456477e-67,1.874539008666968e-63,1
IRX4,4.56568472764294e-65,2.8511811032696414e-61,1
ATP5MC1,1.8082515132260367e-64,1.0697853009817756e-60,1
ENSGALG00000006899,3.499959291419539e-61,1.9670907104341618e-57,1
BMP10,8.69254915211649e-61,4.65285212753093e-57,2
ATP5MPL,1.9630163366154902e-60,1.0029808085985124e-56,1
ATP5MC3,2.965513121490572e-56,1.4493170590163592e-52,1
TUBAL3,1.760010968804003e-55,8.243194036295013e-52,2
NDUFB5,3.384927885404711e-55,1.5219514615939594e-51,1
NPPA,1.9016119244180447e-54,8.221289361288122e-51,1
MYL9,4.3811211954030697e-54,1.8239498503314418e-50,1
COX7B,1.1472840350284424e-53,4.605791871160668e-50,1
UQCR10,2.1921482196278106e-53,8.496954786354588e-50,1
CHGB,3.4346847002833933e-53,1.286936181183891e-49,1
FHL1,6.119454202208857e-53,2.2189237833014306e-49,0
MB,1.8118645219872735e-52,6.364541650713108e-49,1
MICOS13,6.77513190760579e-52,2.307784250968288e-48,1
COX7C,8.599700301895109e-52,2.8431239216120836e-48,1
ATP5PD,3.177249260423008e-51,1.0204098283957902e-47,1
KCNJ5,2.3110715578197653e-50,7.216095664758484e-47,2
NDUFB10,5.156979648416704e-50,1.566697258631373e-46,1
CSRP3,1.1083801670568716e-49,3.278661187186703e-46,1
ATP5ME,1.8583009683283183e-48,5.356027969329045e-45,1
PPDPF,3.7849381973827077e-48,1.0636290521852356e-44,1
UQCR11,2.2559435379932837e-46,6.1849438213360574e-43,1
SLC25A3,5.573525491155636e-46,1.49166771942021e-42,1
NDUFA4,1.058978648771716e-45,2.7682807860397396e-42,1
HSPE1,2.0243858133755674e-45,5.171684214089392e-42,1
MYLK,3.8234216734043624e-45,9.550609185991649e-42,1
NDUFA8,1.8187698157125353e-44,4.4443811447566333e-41,1
SLC25A4,2.523168281168983e-44,6.034478560106747e-41,1
ACTC1,3.259022667858905e-44,7.631985452369212e-41,1
MYOM2,9.529744885952469e-44,2.186133023227539e-40,1
PLN,1.418663137728821e-43,3.1893389003732052e-40,1
ATP5F1B,2.3825828235620875e-43,5.251328909216877e-40,1
USMG5,4.373843666725867e-43,9.454777271707348e-40,1
UQCRH,5.9582264414642116e-43,1.2636666528482824e-39,1
NDUFA13,1.3368133985920583e-42,2.78271301971906e-39,1
NRN1L,1.875804080886591e-42,3.833682804828424e-39,1
SFRP1,2.2064860913120804e-42,4.428988547261669e-39,0
ATP5A1Z,4.973889344196939e-41,9.808727141868988e-38,1
