,combinedPval,adjustedPval,cluster
AATF,0.000914238101827336,0.025870304741449423,1
POLE,0.0009148884014288372,0.025882483100210827,1
CERS5,0.0009162761182816004,0.02591551235972034,0
ENSGALG00000043088,0.0009173466600551627,0.025935033847812587,8
SRP68,0.0009174070687328895,0.025935033847812587,1
TTC4,0.0009180475981460656,0.025946908826716665,2
NCKIPSD,0.0009208799011037883,0.026020709635269104,0
GPALPP1,0.0009221890561071922,0.026051446734976634,0
CORO6,0.0009259904704537192,0.02615255744751474,3
ACOT13,0.0009269223159604767,0.026172594447348544,9
ANGEL1,0.0009337924023196109,0.026360253886769595,6
CCNB3,0.000935556919165581,0.02639740120302703,1
ENSGALG00000023632,0.0009355246597679834,0.02639740120302703,2
GLDC,0.0009360669358917661,0.02640546095956687,7
SLC7A5,0.0009370671154087518,0.026427340515194343,3
KAT7,0.0009382158322239764,0.02645339765989734,9
TMEM106B,0.0009407994085652849,0.02651988911151078,6
ENSGALG00000044628,0.0009417743004931367,0.026541012894743764,9
SCYL3,0.0009434228311575588,0.02658110645513913,9
MINDY2,0.0009465288404122418,0.026662235713141802,6
VPS51,0.0009531665187254568,0.026842783927721457,8
ENSGALG00000050669,0.0009542556514809952,0.02686702669481857,4
RABL3,0.0009560363357763446,0.026910723812120278,2
SNAPC5,0.0009569236160467121,0.026929258309465187,6
SPG21,0.0009572012604446289,0.026930631983324738,6
MICALL1,0.0009577165692263856,0.026938690033864027,8
PRRG3,0.0009580260575245969,0.026940956290026626,9
ENSGALG00000040010,0.0009582692738872023,0.026941358254385477,0
MYO9B,0.0009614728548668072,0.02702496961859473,0
YEATS4,0.000964294136678312,0.02709779799807485,7
TTYH3,0.0009652158266684197,0.027117223587752672,0
ENSGALG00000032799,0.0009662051838621455,0.02713467876529504,0
MARC1,0.0009662982598792613,0.02713467876529504,4
NUP107,0.0009669360564406038,0.027139637378548888,0
PGM1,0.000966901650581331,0.027139637378548888,4
NRGN,0.0009714272600639395,0.027259193858169346,0
TRIP13,0.0009760232520765744,0.027381633101466324,1
GPR176,0.0009805820422517098,0.027502970562611573,7
TRIM45,0.0009809917077725494,0.027507904951556906,9
NUPL2,0.000982350952109523,0.02753945770560927,3
RGP1,0.0009869337023944436,0.027661342433650336,2
OAZ,0.000991815311235822,0.02779154340277495,7
CR1L,0.000992565618058494,0.02780594720082163,8
TTC19,0.0009966522166833247,0.027913785498316523,2
CETN1,0.0009988190091221316,0.027967816208660602,7
NEDD8,0.0010059272010753961,0.028160151861751397,0
DAAM1,0.001006571118787214,0.028171476726265847,8
LMNB2,0.0010077022287712234,0.028196428290213373,1
FUCA1,0.0010134510293917653,0.028347614047763967,9
SLC35C2,0.0010135871463006207,0.028347614047763967,4
ENSGALG00000026607,0.0010140485363043794,0.02835377995970579,4
HDGFL2,0.001014677415847709,0.028364624999950027,8
DQX1,0.001015102305293114,0.028369763837502258,4
ENSGALG00000054601,0.0010153594843779201,0.028370214230710844,0
ENSGALG00000006465,0.0010164659273825816,0.02839438810678697,7
C1GALT1,0.0010190579015530998,0.028460038116613486,0
SLC16A7,0.001020266612907328,0.02847537462865001,3
GTF3C1,0.0010200442978740565,0.02847537462865001,6
ENSGALG00000003203,0.001020332921462197,0.02847537462865001,6
CREBL2,0.0010224939281004986,0.028528918623144557,2
NUBP2,0.0010251025958654125,0.02859492460606699,2
CHST6,0.0010258545477747072,0.028609119056513442,0
ZC3HC1,0.0010294836704554111,0.028703526555579922,9
CDC73,0.001034629154236244,0.028840157708137516,2
ERCC5,0.001035057034585174,0.028845252689155693,4
ENSGALG00000032373,0.0010383704704859387,0.02893074167179604,2
VPS26C,0.0010389418925156324,0.028939811166224367,0
RAB4A,0.001040406406855543,0.028973747640878914,0
SS2,0.0010410543229496527,0.02898493241021849,2
RNF34,0.0010427788770446256,0.029026080448637914,8
RPGR,0.0010438147194644642,0.029038944300789044,8
MARCH8,0.0010435497105385494,0.029038944300789044,0
SST,0.001043981255680393,0.029038944300789044,2
ENSGALG00000049873,0.0010519108716928738,0.029252597297456124,9
ENSGALG00000046098,0.001053635268280173,0.02928671045464406,0
MAP2K4,0.001053596025900383,0.02928671045464406,9
CEBPG,0.0010540935283571695,0.029292529787114645,7
VPS4B,0.0010564873852498824,0.02935212257018375,0
HYAL2,0.001057719755863773,0.029379425559265707,8
C18H17ORF67,0.0010660145683361044,0.02960283710698162,6
ENSGALG00000052541,0.001067668755666551,0.029641779003109114,4
ENSGALG00000010034,0.0010698638061781285,0.029695715019669815,1
R3HDM4,0.0010743777503700036,0.029813974883744796,0
SPOUT1,0.001075251966206947,0.029831200365462524,2
ENSGALG00000012269,0.0010765256844789128,0.0298594986917733,2
ENSGALG00000038143,0.0010806727360459512,0.02996746229768683,7
INTS8,0.0010837322543595374,0.030045224434612775,6
ENSGALG00000033919,0.0010840790073691764,0.03004775937256638,4
FKBP14,0.0010865393620240749,0.03010886268537274,0
DPH1,0.0010887974848385884,0.0301643345455518,6
AADAT,0.0010896874508403709,0.03018188543629521,6
DOCK10,0.0010948869647032788,0.030318764740852693,8
ENSGALG00000007882,0.0010956072201783185,0.030331572658914514,1
ERN2,0.0011030489479906258,0.03053041282914386,9
HOXB4,0.0011035906051677369,0.03053822284211734,6
C1QB,0.0011042614538896434,0.030549603291921773,0
C22orf39,0.001107454063072666,0.030630726979627144,9
SNUPN,0.0011085228651047663,0.03065308462693302,7
PCBP2,0.0011166599611605044,0.03087083966445531,4
IP6K2,0.001118697181136108,0.03091989671792792,0
KHDRBS3,0.0011203216158666152,0.030957524358790338,2
AAAS,0.0011218883349024544,0.030986266095927164,7
SIRT3,0.00112163274835142,0.030986266095927164,2
RNF103,0.0011267249514714806,0.031112550494971303,2
RFC4,0.0011296450453386342,0.03118586661927096,1
TMEM259,0.0011359799086272382,0.031353397047999984,7
SIPA1L1,0.0011364026553911666,0.031357710929732094,0
ENSGALG00000048698,0.001143491144027342,0.03154591307516457,4
PGR,0.001148836524609731,0.03168595051090835,2
MED31,0.0011508697856026373,0.03173459247416846,9
SCRN1,0.0011527893201530581,0.03178007644033175,8
GAS8,0.0011598013338716129,0.03196589560385383,2
DCLRE1A,0.001161683042467554,0.03201026181740923,7
CCPG1,0.001165360804882054,0.032104086070722314,4
RUBCNL,0.0011669169781469702,0.03213943322655076,4
ENSGALG00000049007,0.0011674733205468968,0.03214723276683259,2
SACM1L,0.00116889556927946,0.032178866445742825,7
HAS2,0.0011693290555154778,0.03218327176383687,0
ZC3H7A,0.001171888838345847,0.03224618308774085,6
ENSGALG00000039008,0.001172600242284938,0.03225821612286303,2
WDR75,0.001179578917448576,0.03244261578401102,1
TSPAN2,0.0011842243155448795,0.032562770852475664,9
MICALL2,0.0011947055275569607,0.032843300441356804,0
ENSGALG00000053013,0.0011969028020990535,0.03289602088270639,3
CHP1,0.001198729733159709,0.03293854045534252,2
CDKN1B,0.0012043924200417777,0.03307869252659633,4
ZCCHC9,0.00120420963643042,0.03307869252659633,7
AK4,0.00120536253608039,0.03309761274401395,2
ENSGALG00000008518,0.0012093239468997652,0.033198641853689384,2
LAS1L,0.001210107100457325,0.03321239393262362,4
TMEM87A,0.0012153407711045228,0.03334825925552558,2
DGCR6,0.0012161794539381487,0.033363493383950324,0
ENSGALG00000009332,0.001217209084442894,0.03338395746523671,0
ADPGK,0.0012186693352016498,0.03341621972629158,0
ENSGALG00000003427,0.0012206374385117513,0.03346238915812757,7
AAR2,0.0012220734691210655,0.03348615595427173,6
MCEE,0.001221872219293041,0.03348615595427173,2
SLC16A2,0.0012224359780939054,0.03348829205725388,0
RTKN,0.0012232681620334418,0.0335032907861612,4
FAHD1,0.001226359848359504,0.0335801521688499,9
MARCH6,0.0012355376732567924,0.033823589510400216,4
ENSGALG00000010316,0.0012455748582131942,0.03409043365451584,4
CHEK1,0.0012488056716311036,0.03417091182938413,6
EIF4E3,0.0012514718588112483,0.03423590638483682,4
SORD,0.0012520798837483138,0.03424457967369291,4
TUBB,0.0012560587122281142,0.034345419513605986,4
GPR137B,0.0012571052277443595,0.03436605054848866,6
GPATCH4,0.001261857139833733,0.03448794456781502,7
DPM2,0.0012630962788648947,0.03451379632131788,0
ARL8B,0.0012665610963620288,0.03460043807477983,2
SLC41A2,0.001268975108946746,0.03465833995415393,0
PLEKHF1,0.0012713748585511109,0.034715825503738744,9
ENSGALG00000043126,0.0012742178096716295,0.03478538352019474,2
MELK,0.0012766179720202775,0.034842824208988335,1
RTCA,0.00127726860037769,0.034852499178502236,2
PLBD1,0.0012822409497619258,0.034980068015114905,2
MIB1,0.0012848567640086905,0.03504330536058658,0
SEZ6L,0.0012871532364843175,0.035097805662609546,4
SMARCD1,0.0012894403971949187,0.03515202686317413,0
PIGT,0.0012924293435996326,0.03522535022113123,2
MTMR2,0.0013001663516543083,0.035428018775110044,2
PEMT,0.0013062014926041865,0.03558423033931661,7
ENSGALG00000023506,0.0013121251960860336,0.03573733446435994,2
BCS1L,0.0013131094077089012,0.03575586576632253,7
TBP,0.0013152364415152107,0.035805500254528215,7
NKAP,0.0013218677352482278,0.035977705697983954,2
P2RY6,0.0013248781954634525,0.036051304886914326,0
COG1,0.0013277645490341605,0.036121493759995356,2
CMC2,0.0013314197745477596,0.036212562320599925,0
BAG1,0.0013394371227581914,0.036405381198556186,0
EFNB1,0.0013394002909123959,0.036405381198556186,6
RUVBL2,0.0013389814979825054,0.036405381198556186,7
THG1L,0.0013398877361586736,0.0364092201000448,6
EVA1C,0.0013522668710053143,0.036728370313309354,9
SLC35B2,0.001352535451332293,0.036728370313309354,7
PRPSAP1,0.001352861053135701,0.036728370313309354,0
ENSGALG00000034572,0.0013528810464162877,0.036728370313309354,6
BAP1,0.0013601007333782222,0.036915856504455946,7
DSCC1,0.001363251548236022,0.03698431674019584,1
F8,0.001363198391519771,0.03698431674019584,8
M6PR,0.0013638993334528227,0.03699336307535301,2
ENSGALG00000049402,0.0013663669595567196,0.03705175384172099,0
ARHGAP8,0.0013694420968820564,0.03712658778449516,9
NFIA,0.0013724356676065863,0.037199176435898075,0
PACS2,0.0013740531244212928,0.037234441374354575,9
POLR3K,0.0013751996933482058,0.03725693277422881,4
KIAA0319,0.0013771629694485643,0.03730153497319707,2
CHST8,0.0013777031963007058,0.0373075811147866,0
ARPC5L,0.0013839046187240633,0.03745827479035042,7
IFT88,0.0013838241810752994,0.03745827479035042,0
ENSGALG00000015701,0.0013860292252848572,0.03750715541267725,3
ENSGALG00000003696,0.001386982708273532,0.037524329224918156,4
TOR1A,0.0013876270689245906,0.03753313386900672,0
RDH5,0.0013932996477098447,0.03767685469804184,4
SAP30,0.0013935808170184583,0.03767685469804184,9
ENSGALG00000047969,0.0013973286024595577,0.03776950317475204,2
TBC1D23,0.0013977497310739828,0.03777221090451911,2
NPL,0.0013987219001720952,0.037789805062775524,0
LRRC40,0.0014039124499212186,0.0379213345919545,9
SPPL3,0.001405211537336415,0.03794771488129053,7
WDCP,0.0014078654467110097,0.038010661618516524,3
ZNF609,0.0014248856124725595,0.03846136203936402,7
C10orf88,0.0014296288669164436,0.03858054604238471,9
ENSGALG00000004515,0.001434372501971426,0.03869968566788274,7
SYTL4,0.001435383552699454,0.03871808781524981,6
LYRM7,0.0014407642752625183,0.03885432220587588,9
ENSGALG00000031929,0.0014484794525415623,0.039053434989025367,8
WDR45B,0.0014558772208703719,0.03924390064411362,2
CTU2,0.0014563579908422053,0.03924787060541803,6
SLC25A21,0.001462229337166665,0.03939707790614741,4
PUS7,0.0014640236100457171,0.039436392807876954,8
BSDC1,0.0014645727276823006,0.039442156654481135,6
RYK,0.0014661806768281327,0.03947642654961475,2
ENSGALG00000052055,0.001477329762197388,0.03976751392535188,9
PLAA,0.0014776887177903042,0.03976808039030957,2
PEX2,0.0014787299607363913,0.03978700435636686,6
CRELD2,0.0014914741366605089,0.04012072915612694,0
FBXL3,0.0014947009790724497,0.040198343186284555,2
DDX31,0.001499907938176559,0.04032019681049368,0
SGTB,0.0014999170870486633,0.04032019681049368,2
MDM1,0.0015005762126312217,0.04032870349922688,4
OTUD7A,0.0015066641614456255,0.040483075213793955,4
ENSGALG00000046773,0.0015079746421551299,0.0405090383297791,2
ENSGALG00000029066,0.0015098752511732982,0.04055083871840565,2
ETV6,0.0015128680802586336,0.040621947181018456,7
PARD3,0.0015190811095457946,0.04077946891955252,8
DVL1,0.0015227486109274935,0.04086557679047876,0
ENSGALG00000043593,0.0015229831994247878,0.04086557679047876,7
ABHD17B,0.0015234127189345248,0.04086778412917375,2
RASA3,0.0015277485076681252,0.04097475799079755,7
SMS,0.001531233622041217,0.04105887291567612,1
PPP6R3,0.0015325316110145204,0.04108431676293833,2
MID1,0.0015349572835927638,0.04113997323244051,4
ENSGALG00000005204,0.0015357422028756673,0.04115163884885227,8
AGO4,0.0015361334911146995,0.041152753845831114,4
STAMBPL1,0.0015387597677014586,0.04121372966486063,2
ING3,0.0015397634427263274,0.04123122829859896,6
NFKBIA,0.001540802645136008,0.041249670094219926,2
PRPF40A,0.0015435887517752933,0.0413148601936014,8
POLH,0.001560095076111434,0.041747165061883064,7
ENSGALG00000041435,0.0015622152936818345,0.04179439770701989,9
ENSGALG00000027159,0.001564434280582061,0.041844250686681295,9
PPP1R9B,0.0015715219869762986,0.042024276079180294,0
RGS4,0.0015857743556184634,0.042386138494107745,4
ALKBH2,0.0015857011205069327,0.042386138494107745,9
UBE3A,0.001598080645723421,0.04270537398032239,2
ROCK2,0.001601955460528659,0.042799202072151626,8
LDLRAD4,0.0016144112260865207,0.043122191505403314,1
CEP63,0.0016148902548307476,0.043125198904779005,6
CPSF4,0.0016260860116670273,0.043414327283384804,1
ZFP92,0.0016296514670075535,0.04349965184252546,7
SLC52A3,0.0016306195139463853,0.043499670213418794,9
ENSGALG00000006092,0.0016301533366154253,0.043499670213418794,2
THNSL2,0.0016307610135966044,0.043499670213418794,2
CENPM,0.0016341561425863294,0.0435803557603255,1
MAFK,0.001634548666264335,0.043580948161959426,9
UTP18,0.0016387330042504367,0.04368261616822449,7
LARS2,0.0016427251030579626,0.04377911489764034,9
RBBP7,0.0016460621474961856,0.043858116490441336,6
