,combinedPval,adjustedPval,cluster
Cox17,9.154518669252099e-05,0.0015817021845026624,5
Clip4,9.16108947144334e-05,0.0015825183560841832,6
Znhit2,9.16034144196054e-05,0.0015825183560841832,6
Suv39h1,9.170855853013471e-05,0.0015840457526643769,1
E2f2,9.225479881513898e-05,0.0015933201448561593,7
Cfp,9.252844723039999e-05,0.0015978852449284571,1
Wnt3,9.256795379841698e-05,0.0015984064077930614,2
Apip,9.26084798216209e-05,0.0015989450671880278,3
Agk,9.266197609947291e-05,0.0015997075352896183,2
2610507B11Rik,9.276925397916358e-05,0.0016013982367002837,1
Pcca,9.295305216494576e-05,0.0016044093706751798,1
Tagap1,9.312841250286308e-05,0.0016072742719280754,6
Dlst,9.319128315576908e-05,0.0016081973672274037,1
2510039O18Rik,9.32911028747041e-05,0.0016097578406252797,1
Mogs,9.339949438924577e-05,0.0016114658930576422,3
Tril,9.357376648022608e-05,0.0016143101560566599,3
Lmnb2,9.3714590481353e-05,0.001616576866809132,7
Icmt,9.376398775584605e-05,0.0016172661687853798,1
Cept1,9.387415132477983e-05,0.0016190033397156115,6
Spata5,9.399836209722512e-05,0.0016209824021414857,1
Ildr1,9.41032314896173e-05,0.001622627561730378,6
Pnpla2,9.413290353210702e-05,0.0016229758883946994,6
Fetub,9.415619779273854e-05,0.0016232141946323014,6
Setd7,9.417506559894484e-05,0.0016233761503450675,3
Gng12,9.419715924452454e-05,0.0016235936744368573,3
Atp9b,9.423218970705527e-05,0.001624034112896342,1
Intu,9.449089860069648e-05,0.001628329035958357,6
Crbn,9.451214326317015e-05,0.001628531367642635,1
Hsdl2,9.465872021441335e-05,0.0016308930323998445,2
Ier3,9.484813276694481e-05,0.0016339921708056451,3
Sumf1,9.513141018180349e-05,0.001638707576514408,3
Stk24,9.51691793840137e-05,0.001639193402254956,3
Ppa2,9.531929998085609e-05,0.0016416140756352507,1
Slc15a4,9.541267297485945e-05,0.001643057038556347,1
Tbc1d10a,9.578478732641393e-05,0.0016492993037849587,1
Cytl1,9.597433868968608e-05,0.0016523971145224765,3
Pde8a,9.602738979075376e-05,0.0016531444040702949,3
Tmprss11a,9.610632071455072e-05,0.0016541708639140624,6
Nckap5l,9.610388683700677e-05,0.0016541708639140624,1
Lhx4,9.620896487261277e-05,0.0016556597333271296,2
9330158H04Rik,9.621214670996192e-05,0.0016556597333271296,2
Rap1a,9.645897501520118e-05,0.0016597405861869397,3
Gm16174,9.652074051946791e-05,0.0016606366193253248,6
Palmd,9.659983307630515e-05,0.0016618305540785322,7
Znrd1,9.670431771580112e-05,0.0016634610314928736,5
Foxd2,9.674617309218814e-05,0.001664013971355599,3
Ppp1r12b,9.679873151768881e-05,0.0016647508719646437,1
Gpank1,9.684226313178002e-05,0.0016653323965658852,1
Ung,9.711026220537988e-05,0.0016697734356985608,5
Galr1,9.726857170733183e-05,0.0016723277031130827,0
Cd1d1,9.739668656294498e-05,0.001674362376927809,4
Pced1b,9.749516674584235e-05,0.0016758519473074765,2
Samd11,9.750289326282413e-05,0.0016758519473074765,4
Foxl1,9.76152016198828e-05,0.0016776140051487835,1
Usp36,9.768172511859241e-05,0.001678588930318797,7
Rbm47,9.777564323021348e-05,0.0016798659277547235,6
Mrps30,9.777289246537535e-05,0.0016798659277547235,1
Tmem18,9.804067260743565e-05,0.0016842504862291344,1
Inpp5b,9.805620780145574e-05,0.0016843485098820936,1
Mga,9.823991465196524e-05,0.0016873349723937206,1
Tmem110,9.825922989004088e-05,0.0016874975854993238,1
Gm13404,9.84920450761706e-05,0.0016913264327184357,2
Osbpl7,9.859363513275987e-05,0.001692901312477827,2
Spata24,9.888189033324668e-05,0.0016976806880670988,6
Sav1,9.961470891362012e-05,0.0017100909489900864,3
Ephx1,0.00010005807969371006,0.0017175302557606356,6
Polr3f,0.00010023978225648378,0.0017204769000856892,1
Thap2,0.00010062490665552204,0.0017269140583425877,1
Ccne2,0.00010133791980615481,0.0017389765561028993,3
Nt5e,0.00010147790803327617,0.0017412044141895842,3
Fzd7,0.00010156236683611652,0.0017424791222742115,3
Pusl1,0.00010189620395784083,0.0017480316657938282,1
Mrps35,0.00010300035788413098,0.0017667965769609646,1
Cmtm4,0.00010352453418027707,0.0017756101942017317,6
Anpep,0.00010354626288555657,0.0017758051355300404,3
Rock2,0.00010380926009090352,0.001780137347629979,5
Casp8,0.00010399216042800141,0.0017830953166391144,3
B230209E15Rik,0.00010400854400993698,0.0017831978099031027,2
Ppp1r3d,0.00010425679788739206,0.001787275237251531,8
Gucy1b2,0.00010444769082917915,0.0017903686081897606,9
Scx,0.00010526044870184936,0.0018041198639593,3
Morc3,0.00010535433111069636,0.0018055483780448094,1
Dlg1,0.00010549689853756039,0.0018078108802924066,3
Wnk4,0.00010561925393259841,0.001809726608269025,3
Atp6ap1l,0.0001056475359459963,0.001810030219764052,1
Heca,0.00010580929240389114,0.0018126203229474392,1
Elmod3,0.00010591714831220678,0.0018142866296227017,1
Pcf11,0.00010604288209359325,0.0018162588080496784,1
Kcng1,0.00010618771923431858,0.0018185577540482153,4
Lix1,0.00010627807182994609,0.0018199232382387998,4
Slc25a13,0.00010635561881988664,0.0018206560002656858,5
Rarb,0.00010634664653008663,0.0018206560002656858,1
Fam83e,0.00010636336153602155,0.0018206560002656858,6
Tslp,0.00010633250572333885,0.0018206560002656858,7
Zfp72,0.00010641340888695172,0.0018213307439818684,2
Zfp719,0.00010646417072701642,0.0018220175806228588,1
Vps13b,0.00010684259116899852,0.001828311237927521,1
Gpr61,0.00010690962156534312,0.001829275603310586,2
Zfp710,0.00010711723911516202,0.0018326450505094238,4
Opn3,0.0001071394934155645,0.001832842802897854,2
Crb1,0.00010724594649569319,0.0018344807664364947,2
Nsl1,0.00010727421227874068,0.0018346649802658379,5
Tfr2,0.00010727812865729547,0.0018346649802658379,2
Tars,0.00010738082382677483,0.0018362380104299826,5
Birc2,0.00010739626228606358,0.0018363187647531913,6
Smpdl3a,0.0001075191758674876,0.0018382369867702315,9
