,combinedPval,adjustedPval,cluster
Sox11,9.588012117235415e-105,1.3850197296106868e-99,0
Nnat,5.5020948585779175e-90,3.973978046826466e-85,0
Tuba1a,2.3726047255709886e-88,1.142435058593034e-83,0
Tubb2b,3.982048223787789e-88,1.4380497455497386e-83,0
Map1b,8.259610829938066e-87,2.3862556322402362e-82,0
Map2,6.024759518703376e-82,1.4504937167952408e-77,0
Stmn1,2.0211844506076087e-80,4.1709529820676615e-76,0
Ttc3,3.472788252212298e-79,5.573951429327049e-75,0
Ckb,3.241080941517036e-79,5.573951429327049e-75,8
Tubb3,6.293821051512911e-79,9.091630490656827e-75,0
Basp1,1.766444985528628e-78,2.3197159937507936e-74,0
Dpysl2,4.268928346990328e-78,5.138838924222483e-74,0
Slc25a37,6.614109558426865e-76,7.349459785517445e-72,6
Id4,2.184847799237397e-74,2.2543458220385742e-70,0
Lhx2,1.992833398252824e-73,1.9191420429723846e-69,8
Ina,2.024016312205961e-71,1.82734862762891e-67,0
Miat,3.627719243938367e-70,3.0825642202731504e-66,0
Tubb5,9.01468495119118e-70,7.234448578403191e-66,0
Dpysl3,1.8471879370841516e-69,1.404380752195781e-65,0
Nrep,9.879800390765945e-69,7.135847503377864e-65,0
Ddx5,1.48318669090901e-68,1.0202436743712785e-64,0
H19,1.7265847399529107e-68,1.1336855290277344e-64,3
Dlk1,6.574031980536397e-68,4.128871455767998e-64,3
Dcx,1.229701765730805e-67,7.40143519084568e-64,0
Marcks,1.6980934688957467e-67,9.434429193721607e-64,0
Cpe,1.6541969245289944e-67,9.434429193721607e-64,0
Elavl3,2.362009085652292e-67,1.2637034915357522e-63,0
Nsg2,1.1129854714979657e-66,5.741942639063545e-63,0
Rtn1,2.81605883333096e-66,1.4027203957356135e-62,0
Kif5c,4.5034405574601817e-66,2.168455757371935e-62,0
Marcksl1,6.464939931607189e-66,3.0125217139566707e-62,0
Uchl1,7.850920781399411e-66,3.4404272850186837e-62,0
Rufy3,7.859572734855244e-66,3.4404272850186837e-62,0
Hmgcs1,3.991914405805313e-65,1.6960150014764305e-61,0
Gpm6a,1.4112309616363054e-64,5.662692528627571e-61,0
Stmn2,1.4037135023166193e-64,5.662692528627571e-61,0
Igfbpl1,1.8199141410774966e-64,7.105204157389463e-61,0
Sox4,2.1993780616867613e-64,8.360719975007717e-61,0
Afp,3.234138058737982e-63,1.1979021208895549e-59,6
Crmp1,3.966894031376585e-63,1.4325770638251022e-59,0
Tmsb10,1.750068007935643e-62,6.165928080520497e-59,0
Dynll2,3.3195334666100604e-62,1.1417082697448651e-58,0
Stmn3,1.4059996346456568e-61,4.7232848540908895e-58,0
Tubb2a,1.9508433735986623e-61,6.404675226391632e-58,0
Ncam1,3.4408491668525964e-60,1.1045376071782657e-56,0
Gng3,6.597955701059982e-60,2.0719484664193495e-56,0
Gap43,9.55429945123505e-60,2.936488988666855e-56,0
Igfbp5,3.2861151248219062e-59,9.889376759401776e-56,3
Mir124-2hg,2.752026301297751e-58,8.113045019345536e-55,0
Tmsb4x,3.9791307919233386e-58,1.1495969312780343e-54,0
Smarca4,6.150355340631095e-58,1.74203717176424e-54,0
Calm3,7.986785436286477e-58,2.2186871059898593e-54,0
Dpysl5,1.0842346167452526e-57,2.955117713774755e-54,0
Pantr1,1.337360876831159e-57,3.5775213985430813e-54,8
Gng2,2.795785892782177e-57,7.342916766410159e-54,0
Fnbp1l,9.864683516070663e-57,2.5446175333069908e-53,0
Lhx9,1.6350974180595256e-56,4.143774970568872e-53,0
Mt2,5.92855502984945e-56,1.4765503048411319e-52,6
Tagln3,2.013908213542937e-55,4.930773431989095e-52,0
Calm2,2.2150358812423632e-55,5.332819705490127e-52,0
Cxadr,2.3550610496847107e-55,5.5769881340962626e-52,0
Ywhag,3.6734828009607646e-55,8.558816339218134e-52,0
Cdk5r1,3.1219918334942723e-54,7.158443458454517e-51,0
Rtn3,3.695085770050038e-54,8.340113009653645e-51,0
Mt1,3.794472394375264e-54,8.432676242620317e-51,6
Pgrmc1,4.4944792180024223e-54,9.837003521190622e-51,0
Ywhae,5.104737622090742e-54,1.1005911285064064e-50,0
Ctbp1,1.0331745988774894e-53,2.194786060908936e-50,0
Hnrnph1,1.1389308877917842e-53,2.384381075225776e-50,0
Actg1,1.4263673101907696e-53,2.943477515956318e-50,0
Hmgb3,1.5760401682833853e-53,3.206537469182737e-50,0
Psip1,1.7052123923512898e-53,3.4211598726174026e-50,0
Ywhaq,3.0901234413886055e-53,6.114773210209961e-50,0
Mllt11,3.786841879984776e-53,7.392185175591374e-50,0
Sbk1,4.351098151706242e-53,8.380404908267699e-50,0
Dync1h1,7.485054596112916e-53,1.4226850436925332e-49,0
Nsg1,1.005502915348517e-52,1.8863400895224636e-49,0
Dbn1,2.1242084332659937e-52,3.884162787501956e-49,0
Aplp1,2.1138140911683383e-52,3.884162787501956e-49,0
Sept3,2.221683416873824e-52,4.011618007589627e-49,0
Cfl1,3.038225336651583e-52,5.4182912748882725e-49,0
Bex2,3.411870799460927e-52,6.010437844161104e-49,0
Gm1673,3.649174585638317e-52,6.351026647869972e-49,0
Celf5,4.147582459513552e-52,7.132522146720716e-49,0
Enc1,4.93245692397855e-52,8.382465240274895e-49,0
Ndn,6.498454765184139e-52,1.0915384403753631e-48,0
Dpysl4,9.743411897123705e-52,1.617779007358566e-48,0
Idh1,1.4229522665201465e-51,2.335796725932928e-48,0
Tcaf1,3.4922608399760057e-51,5.66818547944984e-48,0
Apbb1,6.978989326542705e-51,1.120153165317805e-47,0
Trp53i11,9.04815668578704e-51,1.4363031271647776e-47,0
Elavl4,1.393497527704482e-50,2.1644653598047575e-47,0
Gnao1,1.3915549717807696e-50,2.1644653598047575e-47,0
Npdc1,3.0518401942878525e-50,4.689875574571167e-47,0
Pkm,4.397167270077545e-50,6.686160032021525e-47,8
Alb,7.514943660288565e-50,1.1307897982773684e-46,6
Ubb,8.895181371196311e-50,1.3246784132738258e-46,0
Ivns1abp,1.071540229580428e-49,1.57946421488166e-46,8
Pou3f3,1.2846601317818517e-49,1.8744783881009032e-46,0
Pcsk1n,1.6964327716904444e-49,2.4505526589039018e-46,0
Ap2m1,2.566698210981008e-49,3.670969868980752e-46,0
Ppp2r1a,3.3000063828159923e-49,4.673497275797099e-46,0
Jpt1,4.331535252693815e-49,6.074800420709044e-46,0
Eif4g2,4.999366656327724e-49,6.943989185007636e-46,0
Wdr6,5.271532125275229e-49,7.252286361551471e-46,0
Serf1,5.81930200777362e-49,7.908171884349888e-46,0
Kif1a,5.857772381682615e-49,7.908171884349888e-46,0
Kif1b,6.985112218170107e-49,9.342799264077463e-46,0
Slc25a5,7.689146222372187e-49,1.0190113179474084e-45,8
Msi1,7.902321054460118e-49,1.0377419442983092e-45,8
Hist3h2ba,8.332728950148298e-49,1.0844053764708542e-45,0
Kidins220,1.0373549996280383e-48,1.3379403992114169e-45,0
Klc1,1.1905269089645689e-48,1.52190715318986e-45,0
Cdh2,1.2640059671421983e-48,1.6016649012599874e-45,0
Ubqln2,1.3017387131749577e-48,1.6351340643334406e-45,0
H3f3a,2.0805327963631214e-48,2.5908600993284113e-45,0
Pfn2,6.368027175587554e-48,7.862242449121401e-45,0
Syt4,7.669272387939462e-48,9.3885720011572e-45,0
Dnaja1,1.5147515299003785e-47,1.8387463522223408e-44,0
Cd24a,1.5963435137862651e-47,1.921642041815591e-44,0
Evl,1.6386281822491166e-47,1.9562413534294285e-44,0
H3f3b,2.918172850401332e-47,3.4552427764258805e-44,0
Hnrnpa0,3.1208561728453086e-47,3.6651860811800446e-44,0
Adgrg1,6.56198813942028e-47,7.64436018194192e-44,0
Snrpn,8.053977185798202e-47,9.30738690587408e-44,0
