,combinedPval,adjustedPval,cluster
Lyplal1,9.715237192509107e-08,1.7991224543596758e-06,0
H2-DMa,9.816249746386063e-08,1.8176410662020407e-06,0
Gm13889,9.880879958679145e-08,1.8294197610957325e-06,1
Aifm3,9.887713603440318e-08,1.8304680393535317e-06,9
Arhgdib,9.888866836504917e-08,1.8304680393535317e-06,3
Srek1ip1,9.889600138812682e-08,1.8304680393535317e-06,3
Ttc30a1,9.929487065907239e-08,1.8376612884643803e-06,5
Gm6710,9.964978986420903e-08,1.8440397499296027e-06,0
Hmgcl,9.992208682696457e-08,1.8488881128482055e-06,5
Cldn13,1.0013105766759622e-07,1.8525638552695787e-06,7
Chtf18,1.0045479381659561e-07,1.8583619393613506e-06,1
Spats2l,1.0071804246170046e-07,1.8630399564465838e-06,3
Wwtr1,1.0133627725839034e-07,1.8742827178136316e-06,3
Nucb1,1.0159850361013412e-07,1.8789392254005005e-06,3
Tbx4,1.0210525402953863e-07,1.8881164796957477e-06,3
E430018J23Rik,1.0272280503986764e-07,1.8993405423961976e-06,0
Rfx2,1.0283871132443778e-07,1.901287857915001e-06,1
Mpst,1.0322330334933127e-07,1.9082017380611168e-06,1
Synm,1.0395257188378082e-07,1.921485281340342e-06,0
Tbc1d25,1.0434664543534922e-07,1.9285709000167996e-06,0
Cx3cr1,1.0534651662119643e-07,1.9468504697979742e-06,3
Col8a2,1.0594676402853054e-07,1.9577418121001582e-06,3
Abcb1a,1.0657727700369435e-07,1.969190118965023e-06,3
Wdr20,1.0714929565835973e-07,1.979555402592965e-06,0
Mettl14,1.0772083314236625e-07,1.989909664858129e-06,1
Lama5,1.0782948067777909e-07,1.9917117847254963e-06,5
Dffa,1.0810747563816392e-07,1.9966412181127683e-06,4
Fam57a,1.082991486489604e-07,1.9999755180156776e-06,5
Fkbpl,1.1071863914580149e-07,2.0444463181733e-06,4
Ccdc149,1.107742383377186e-07,2.0452626392220897e-06,0
Trmt1,1.1234583674468723e-07,2.0740663263814695e-06,1
Adgrg6,1.1318126902359893e-07,2.0892747988964322e-06,3
Card19,1.1332447868994677e-07,2.091703343313308e-06,3
C430049B03Rik,1.1393334198306349e-07,2.1027253758209164e-06,3
BC017158,1.1469931771035391e-07,2.1166444726866377e-06,5
