,combinedPval,adjustedPval,cluster
MYH15,3.96706961666268e-144,4.66875376871255e-139,1
MYH7,1.28202207829051e-124,7.54391274664195e-120,2
MYH1D,1.19305093143031e-79,4.68024811814545e-75,2
IRX4,4.97954533229856e-76,1.46507833760941e-71,1
ND6,4.05674495673868e-74,9.54858126306976e-70,1
FABP3,5.67296315589895e-74,1.11273016244468e-69,1
CKB,2.09072479405379e-72,3.51503762034916e-68,1
TUBAL3,1.24081526104965e-70,1.82535898222245e-66,2
SFRP1,6.81982250928694e-70,8.9178817724935e-66,3
PLN,4.94950442875078e-64,5.8249588960905e-60,1
LDHB,2.10552012816693e-62,2.25267147779683e-58,1
ENSGALG00000050984,1.38195926983425e-59,1.355330292614e-55,2
SERPINE2,9.2398229002598e-58,8.36472066989314e-54,2
ATP2A2,2.30560988003365e-56,1.9381569227132e-52,4
CST3,6.18225585431574e-56,4.85050395851355e-52,5
IGFBP7,6.60786242081704e-56,4.86040162534958e-52,1
GATA5,3.11853262299149e-55,2.15889995911078e-51,3
KCNJ5,4.0969447366266e-55,2.67866713099369e-51,2
CAV3,1.79516394564465e-51,1.11194079556758e-47,1
CSRP3,1.61310078431218e-48,9.49210764343265e-45,1
MYL10,1.09981776309211e-47,6.16357355081194e-44,4
UBC,2.62331855027834e-47,1.40332899133388e-43,3
SMAD6,5.08199880682017e-47,2.60038630795766e-43,3
ENSGALG00000045540,1.13880898476233e-46,5.58432635548842e-43,5
TPM1,4.62307105115747e-46,2.17631475913195e-42,6
SLN,5.06725883174256e-46,2.29366975682963e-42,1
ND4,6.40627360227506e-46,2.7923693766486e-42,1
RPL22L1,7.64031422420576e-46,3.21132556586989e-42,7
POSTN,3.12980172671984e-45,1.27013526954863e-41,5
TESC,7.93906907506299e-45,3.11443645191613e-41,1
CYTB,3.47685407871836e-44,1.31994525185291e-40,1
LDHA,9.98843269847781e-43,3.67348708482747e-39,2
SFRP2,3.53262779348923e-42,1.22278502759442e-38,1
ND2,3.43828995833504e-42,1.22278502759442e-38,1
ATP6,6.29521707553081e-42,2.11677069231579e-38,1
TMSB15B,1.2769028713497e-41,4.17432742059909e-38,1
ND5,4.80056722515533e-41,1.52694002634352e-37,1
FKBP1B,5.74022381173206e-41,1.777773291247e-37,4
RPL3,6.47037664480972e-41,1.95252275023987e-37,7
APOA1,6.8265695391737e-41,2.00850850521547e-37,8
