,combinedPval,adjustedPval,cluster
MYH15,6.72142356183942e-174,7.55531636142264e-169,1
LDHB,2.86381121830646e-162,1.60955484761737e-157,1
CKB,3.4661812623246e-158,1.29873757456081e-153,1
MYH7,9.06736083625012e-152,2.54807553231683e-147,2
MYH1D,1.45822349188178e-141,3.2782757121202e-137,2
ACTA1,7.256161306397e-133,1.35939938256026e-128,1
FABP3,1.58673890306154e-132,2.54799645710891e-128,1
MYL10,1.84604616040082e-128,2.59384463560737e-124,1
SESTD1,5.8486771975681e-90,7.30476977697017e-86,2
NDUFA5,3.27139486859855e-86,3.6772601738303e-82,1
CYCS,1.064191651288e-81,1.08747317381261e-77,1
COX6A1,9.72372461892889e-80,9.10841468718775e-76,1
ENSGALG00000045362,3.89188949043657e-74,3.3651818493752e-70,1
UQCRB,7.04223019759025e-73,5.65423131650206e-69,1
ENSGALG00000051266,9.03082777654736e-72,6.76749106590211e-68,1
ATP5MF,1.04055397021838e-70,7.31031377114882e-67,1
UQCRQ,2.83499314893759e-67,1.87453900866164e-63,1
IRX4,4.56568472763428e-65,2.85118110326423e-61,1
ATP5MC1,1.80825151321732e-64,1.06978530097662e-60,1
ENSGALG00000006899,3.49995929139282e-61,1.96709071041915e-57,1
BMP10,8.69254915211666e-61,4.65285212753102e-57,2
ATP5MPL,1.96301633660668e-60,1.00298080859401e-56,1
ATP5MC3,2.96551312148089e-56,1.44931705901162e-52,1
TUBAL3,1.76001096880456e-55,8.24319403629762e-52,2
NDUFB5,3.38492788536213e-55,1.52195146157481e-51,1
NPPA,1.9016119244215e-54,8.22128936130306e-51,1
MYL9,4.38112119538499e-54,1.82394985032392e-50,1
COX7B,1.14728403502325e-53,4.60579187113982e-50,1
UQCR10,2.19214821962329e-53,8.49695478633707e-50,1
CHGB,3.43468470027803e-53,1.28693618118188e-49,1
FHL1,6.11945420220222e-53,2.21892378329902e-49,3
MB,1.81186452198398e-52,6.36454165070155e-49,1
MICOS13,6.77513190751994e-52,2.30778425093905e-48,1
COX7C,8.59970030185799e-52,2.84312392159981e-48,1
ATP5PD,3.17724926039941e-51,1.02040982838821e-47,1
KCNJ5,2.31107155781626e-50,7.21609566474754e-47,2
NDUFB10,5.15697964837348e-50,1.56669725861824e-46,1
CSRP3,1.10838016704787e-49,3.27866118716007e-46,1
ATP5ME,1.85830096832265e-48,5.35602796931271e-45,1
PPDPF,3.78493819734746e-48,1.06362905217533e-44,1
UQCR11,2.25594353799168e-46,6.18494382133167e-43,1
SLC25A3,5.57352549113241e-46,1.49166771941399e-42,1
NDUFA4,1.05897864876805e-45,2.76828078603016e-42,1
HSPE1,2.02438581336166e-45,5.17168421405385e-42,1
MYLK,3.82342167339052e-45,9.55060918595708e-42,1
NDUFA8,1.81876981569177e-44,4.44438114470588e-41,1
SLC25A4,2.52316828115191e-44,6.03447856006592e-41,1
ACTC1,3.25902266785374e-44,7.63198545235712e-41,1
MYOM2,9.52974488592367e-44,2.18613302322093e-40,1
PLN,1.41866313772122e-43,3.18933890035613e-40,1
ATP5F1B,2.38258282355083e-43,5.25132890919208e-40,1
USMG5,4.37384366669346e-43,9.45477727163729e-40,1
UQCRH,5.95822644143629e-43,1.26366665284236e-39,1
NDUFA13,1.33681339858689e-42,2.78271301970831e-39,1
NRN1L,1.87580408088544e-42,3.83368280482608e-39,1
