,combinedPval,adjustedPval
MYL4,5.15900587588098e-56,5.2959149294347e-51
UBC,1.68637408826815e-55,8.65563436593878e-51
NDUFB4,9.99323522901072e-55,3.41947815244109e-50
SPARC,1.66303005789206e-54,4.26790835462328e-50
DYL1,5.11525079996922e-53,1.05019973735672e-48
EEF1A1,6.04230895278936e-52,1.033776498845e-47
COX7A2,1.08708866410768e-51,1.55181922226412e-47
EIF4G2,1.20936149354955e-51,1.55181922226412e-47
EEF1D,3.2668367264024e-51,3.72614625711859e-47
CIRBP,1.21217566347059e-50,1.2443442298222e-46
SLC25A6,2.36257989739076e-50,2.2047979523746e-46
ENSGALG00000051598,4.99714299936676e-50,4.27479713010072e-46
H3F3B,5.83082214174983e-50,4.27539983675332e-46
NME2,5.48491111831184e-50,4.27539983675332e-46
UQCRH,9.97314603291959e-50,6.82520809110366e-46
CTNNB1,1.227340728395e-49,7.87444839590873e-46
STMN1,1.33809837287411e-49,8.08005094329188e-46
ENSGALG00000007699,2.08744288267156e-49,1.19046621175664e-45
H3F3C,4.31086081188753e-49,2.08526676988844e-45
chPKCI,4.59844505696333e-49,2.08526676988844e-45
PRDX1,4.6721252932775e-49,2.08526676988844e-45
PDIA3,4.57220088164093e-49,2.08526676988844e-45
ATP5PD,4.16172433136879e-49,2.08526676988844e-45
COX7B,4.95591905218002e-49,2.11976608873863e-45
ATP5F1C,5.84260462909812e-49,2.3990619763922e-45
YBX1,8.14337306379452e-49,3.21518495423912e-45
TPT1,9.47486159896624e-49,3.60233492319689e-45
DBI,9.92218471503327e-49,3.63767800488585e-45
GNB2L1,1.26185120621126e-48,4.46668295141877e-45
SLC25A3,1.46726444522437e-48,4.70688289313921e-45
UBB,1.37830325552743e-48,4.70688289313921e-45
HSPA8,1.45656021768662e-48,4.70688289313921e-45
COX6A1,1.99384898866945e-48,6.20230758815476e-45
ARPC4,2.89759510961922e-48,8.74850331387384e-45
SLC25A5,3.64878436638155e-48,1.04044870837468e-44
MDH2,3.62574760311807e-48,1.04044870837468e-44
ATP5A1Z,3.9687453620376e-48,1.10109930560628e-44
COX4I2,4.61669867427023e-48,1.24716211764314e-44
EEF2,5.46351400708825e-48,1.43807796394709e-44
ATP5PF,7.42192711351775e-48,1.904722322057e-44
PPIA,1.17897481522238e-47,2.95185927221975e-44
TPI1,1.32994856867677e-47,3.25057756589626e-44
FTH1,1.36566348119733e-47,3.26024485601053e-44
ENSGALG00000015617,1.7831736673481e-47,4.16021660774245e-44
VDAC2,1.87313831639458e-47,4.27299428238357e-44
EIF3E,2.34846645646463e-47,5.12933992756055e-44
GNG5,2.30116639076072e-47,5.12933992756055e-44
GAPDH,2.39915480969623e-47,5.13088183410822e-44
RBX1,2.55920421073007e-47,5.3614694947339e-44
TMSB15B,3.3226211053318e-47,6.68783609650288e-44
ATP5MPL,3.29735271839346e-47,6.68783609650288e-44
TPM3,3.55887524365413e-47,7.02561582760099e-44
SEC61B,3.90692501923298e-47,7.4270490877831e-44
MYL12A,3.86702989742168e-47,7.4270490877831e-44
COX7C,3.98685389885336e-47,7.4411936902676e-44
ENSGALG00000030086,4.21339519014287e-47,7.72358883112324e-44
YWHAQ,4.54053924304434e-47,8.13623181320886e-44
TXNDC17,4.59701932694862e-47,8.13623181320886e-44
CYCS,5.45883251063338e-47,9.49779377283155e-44
YWHAZ,6.77371324002464e-47,1.15891219932077e-43
ENSGALG00000048305,9.2369621103633e-47,1.55444122247782e-43
MYL2,9.41139690033797e-47,1.55825086705776e-43
SEC61G,1.21342075347923e-46,1.9771783521809e-43
TUBA1B,1.35864692766032e-46,2.1792227033221e-43
EEF1B2,1.40908781646177e-46,2.19163941353688e-43
PPDPF,1.40839739038645e-46,2.19163941353688e-43
