,combinedPval,adjustedPval
NUTF2,1.6408341810008e-46,2.51399766201413e-43
RAN,1.88806964549342e-46,2.85025735576191e-43
ACTB,2.1119528765142e-46,3.14202843211564e-43
UQCR11,2.28238123813205e-46,3.34707255193011e-43
UQCR10,2.63843083683467e-46,3.81471716173529e-43
ENO1,2.83314023334176e-46,4.03934132636621e-43
MDH1,3.04059951103827e-46,4.27574049462903e-43
SUMO2,3.30986753191801e-46,4.59149240954648e-43
COX6C,3.51916221229404e-46,4.81673773270201e-43
PPIB,3.97270232266434e-46,5.365959737759e-43
GPI,4.28466291862643e-46,5.71216723115513e-43
DSTN,4.61533812366239e-46,6.07412742347949e-43
ATP5F1B,5.71218810475247e-46,7.4225030875966e-43
NDUFA4,6.04090384798061e-46,7.75152074970667e-43
TOMM6,6.77916815374575e-46,8.59144798946261e-43
ENSGALG00000041812,7.72224527192e-46,9.66728933220363e-43
ATP5MF,7.93221900513748e-46,9.81050993051811e-43
CHURC1,1.11750848352095e-45,1.36567236199448e-42
IFT20,1.13192966787902e-45,1.36702197179137e-42
EIF5,1.32034401958592e-45,1.57602691193192e-42
KPNA2,1.35554219704909e-45,1.59944299604799e-42
SSR3,1.43494603671571e-45,1.67389369932681e-42
TOMM7,1.58217594810001e-45,1.74641240407591e-42
H2AFZ,1.51472939665674e-45,1.74641240407591e-42
BZW1,1.56654098287503e-45,1.74641240407591e-42
HNRNPH2,1.58158210694049e-45,1.74641240407591e-42
FKBP1A,1.58118002531671e-45,1.74641240407591e-42
ATP5MC1,1.87664830450738e-45,2.0494154923527e-42
ATP5MC3,2.16378734089363e-45,2.33811543061115e-42
NAP1L1,2.44077779732049e-45,2.58304211715763e-42
NDUFA10,2.4179798900021e-45,2.58304211715763e-42
RHOA,2.64849339033499e-45,2.77426405828604e-42
HMGB3,2.87805340451483e-45,2.98427356190252e-42
ENSGALG00000013239,3.00423050598258e-45,3.08395639990997e-42
ENSGALG00000006899,3.1482103574635e-45,3.19975957495628e-42
NDUFB1,3.24316479821662e-45,3.26395245151713e-42
ATP5ME,3.55430554107333e-45,3.51244857514336e-42
USMG5,3.55851119259232e-45,3.51244857514336e-42
EIF3H,4.09335538471982e-45,4.00188984632676e-42
NDUFC2,4.28071839711816e-45,4.10684071706737e-42
ITGB1BP3,4.26223795085294e-45,4.10684071706737e-42
PDIA6,4.35180266798333e-45,4.13637987373033e-42
VIM,4.83133100658053e-45,4.5086766048915e-42
ITM2A,4.82680483279261e-45,4.5086766048915e-42
OTUB1,5.23599678095311e-45,4.84229640498122e-42
FAU,5.58088685840438e-45,5.11517119355151e-42
ATP5PB,5.97470156664638e-45,5.42766146067078e-42
STMP1,6.51047860708383e-45,5.86250252208235e-42
MGST3,6.75159686609472e-45,6.02675643515283e-42
RAB1A,9.92330147169498e-45,8.78159035059559e-42
NDUFA6,1.20151439983759e-44,1.05418806744149e-41
UBA52,1.54444125071167e-44,1.34358257603067e-41
SUMO1,1.5801147974508e-44,1.36306528284278e-41
CDC42,1.71799625729743e-44,1.46965685615751e-41
ALDOC,1.76432405453744e-44,1.49681443464929e-41
NDUFS4,1.94545737227961e-44,1.63695547297523e-41
NDUFA8,2.46794666342432e-44,2.05970790546496e-41
PKM,2.79770917409186e-44,2.31609228282974e-41
PGK1,3.99363494528965e-44,3.27969402451745e-41
ATP6V0C,7.839120116058e-44,6.38662992584173e-41
PSMC3,8.44236365766735e-44,6.82394177159814e-41
MYL3,8.76955986162982e-44,6.99079304867689e-41
TXN,8.78498811546503e-44,6.99079304867689e-41
H2AFV,8.94227127198636e-44,7.06121550005922e-41
ENSGALG00000003348,9.09968671821773e-44,7.13066646393788e-41
SAP18,9.48131315926293e-44,7.3734295936588e-41
SOD1,9.79791097605207e-44,7.56235091258375e-41
RBBP4,1.05230579853687e-43,8.06143103269588e-41
NDUFB10,1.16636143912262e-43,8.86899402452488e-41
PSMB7,1.21464590015663e-43,9.1682354510358e-41
CCT8,1.25927136430378e-43,9.43569160935513e-41
DAD1,1.57865890215111e-43,1.17431388037362e-40
PHB,1.80417354281187e-43,1.33241185247665e-40
PSMB1,2.00799438962548e-43,1.4723444956649e-40
HMGB1,2.04468773816482e-43,1.48861659997914e-40
ARL6IP1,2.22636258721389e-43,1.60946867568437e-40
SERBP1,2.24935227531763e-43,1.61471699653632e-40
POLR2L,2.5996078781646e-43,1.85319163009301e-40
ARPP19,2.71840688655656e-43,1.92451560618768e-40
ZCCHC13,2.91288309232702e-43,2.04807179452087e-40
UQCRC2,3.02853030734658e-43,2.11489868460369e-40
JPT1,3.13946316134341e-43,2.17755259634302e-40
NDUFA12,3.25116720217973e-43,2.23989682638082e-40
SNRPG,3.38329869714941e-43,2.31538950359124e-40
EDF1,4.06646484771562e-43,2.76449018803087e-40
ACTG1,5.02776158256793e-43,3.39551821806489e-40
ENSGALG00000051266,5.1491046293948e-43,3.45473916660521e-40
NPM1,5.28149351947584e-43,3.52055398364681e-40
CALM1,5.81748763716919e-43,3.85282025642386e-40
SLIRP,5.90545329624454e-43,3.88600735782411e-40
TMEM258,6.0465890345738e-43,3.95353672556066e-40
EIF1,7.01443423781423e-43,4.55733064397882e-40
CALM2,7.08628366087462e-43,4.57505570538479e-40
HSPE1,7.77074940441772e-43,4.9856053634466e-40
GATD3A,8.11328886552271e-43,5.17304242984709e-40
PGAM1,8.31709414632051e-43,5.27025441477613e-40
MINOS1,9.19377793725343e-43,5.79003758761517e-40
ATP1A1,9.25258736622597e-43,5.79154352077184e-40
BTF3,1.04644681536085e-42,6.51040781964558e-40
PSMB4,1.05440325158462e-42,6.52039080346986e-40
POMP,1.08931188654009e-42,6.65607088884342e-40
PABPC1,1.08633238045708e-42,6.65607088884342e-40
NDUFB5,1.11911058366502e-42,6.79768876066834e-40
P4HB,1.17992567021038e-42,7.12493170746471e-40
PFN1,1.24491839633935e-42,7.47342622950953e-40
RPN1,1.35339711178568e-42,8.07740346100901e-40
HSPA9,1.40505536374508e-42,8.33724015890826e-40
SNRPF,1.52395877509175e-42,8.99081265929081e-40
PCNA,1.61727816875406e-42,9.48684168452548e-40
BSG,1.8358794167908e-42,1.07079531559371e-39
ARF1,1.97333581557136e-42,1.14446551128106e-39
EIF4A2,2.02615384376935e-42,1.16592098959038e-39
SNRPE,2.03304585441778e-42,1.16592098959038e-39
SDHB,2.19626389325497e-42,1.25252670562892e-39
HSP90AA1,2.27956898717698e-42,1.29285298576322e-39
ZNF593,2.3127985619595e-42,1.30449193479067e-39
HSBP1,2.3592182556718e-42,1.32340267489893e-39
UBE2I,2.4187241484097e-42,1.34940866725647e-39
HMGN4,2.60699183864359e-42,1.44658154726153e-39
C5H14orf166,2.63960022214297e-42,1.45680086190409e-39
ACO2,2.81370156853986e-42,1.54458354509263e-39
HNRNPH3,3.51945230905225e-42,1.9161649619858e-39
PLK1,3.53614550003836e-42,1.9161649619858e-39
TUBB4B,3.54659434989918e-42,1.9161649619858e-39
NREP,3.61708330716413e-42,1.94401728386467e-39
GHITM,4.32943752043022e-42,2.31475603780385e-39
MRPL33,4.60944410400187e-42,2.45169375953156e-39
PEBP1,4.83116580142346e-42,2.55637869898441e-39
PFDN2,5.09187983113071e-42,2.68051666774008e-39
TCP1,5.12325846012699e-42,2.68327492511552e-39
CCT7,5.54767188993652e-42,2.88919701924031e-39
TUBA3E,5.57272190035927e-42,2.88919701924031e-39
ATP5F1D,5.77467889441452e-42,2.97885758876084e-39
URM1,6.71304852965634e-42,3.44559928652491e-39
LGMN,7.2467750248598e-42,3.70103932105394e-39
UQCRB,7.34831288242606e-42,3.73431757023084e-39
SNRPD3,8.32372666781168e-42,4.20917275194848e-39
MCTS1,8.66742522924536e-42,4.36149033205053e-39
IER3IP1,9.8415649323338e-42,4.92816544061335e-39
UBE2L3,1.00177479555101e-41,4.99203771820229e-39
ARL1,1.06528733083396e-41,5.28288788870046e-39
PSME3,1.14076495600559e-41,5.62999247077871e-39
MTCH2,1.22542100866158e-41,6.01885683411228e-39
HNRNPA2B1,1.29027438964658e-41,6.30721681066003e-39
ENY2,1.31288876072587e-41,6.38734615484819e-39
ATP2A2,1.38925382731316e-41,6.72698901820307e-39
PFDN1,1.90498459784478e-41,9.18093352658313e-39
NDUFA2,1.94130410954373e-41,9.28123063989106e-39
HNRNPR,1.94387819094346e-41,9.28123063989106e-39
NDUFS7,2.21947479502284e-41,1.05480321292218e-38
EIF1AY,2.30537707211296e-41,1.08557655087243e-38
MYH10,2.29585679935494e-41,1.08557655087243e-38
NDUFB2,2.41890649159903e-41,1.13383521915161e-38
HSP90AB1,2.6613852761311e-41,1.24182399371429e-38
GNB1,2.81389518000962e-41,1.30704523928959e-38
CAPZB,3.20761748642197e-41,1.48321659397857e-38
PFDN5,3.59180334811396e-41,1.65341801647338e-38
NDUFA5,3.75909682553663e-41,1.72270324444934e-38
TUBB2B,3.87016045997551e-41,1.76571835327283e-38
UQCRQ,3.94439491638495e-41,1.7916242371705e-38
DDX5,4.93087842618523e-41,2.2298385295035e-38
FKBP3,5.09926459533865e-41,2.29587203607511e-38
SET,5.2488422518586e-41,2.35289754233061e-38
ARPC2,5.43506938739801e-41,2.42578459997345e-38
EIF3L,6.40636111551884e-41,2.8346432442338e-38
GLO1,6.38884405885664e-41,2.8346432442338e-38
HSPA5,6.82400450684936e-41,3.00648029446641e-38
NUDT16L1,6.8841334284759e-41,3.02001012886542e-38
PPP1CC,8.41046238127194e-41,3.67389709848759e-38
FKBP1B,9.86588063946189e-41,4.29139836762037e-38
C5H11orf58,1.06370656584449e-40,4.58796251188101e-38
ROMO1,1.06087177452606e-40,4.58796251188101e-38
PPP1CA,1.08011293269143e-40,4.6199034782866e-38
MRPL23,1.07643462464925e-40,4.6199034782866e-38
PSMA5,1.09742216429679e-40,4.67446230962861e-38
HMGB2,1.10618861401305e-40,4.69233268299322e-38
SERP1,1.25863724167532e-40,5.31703209706209e-38
PSMA2,1.30936525875292e-40,5.5086599608392e-38
CBX3,1.36163981988626e-40,5.69114990362571e-38
NDUFA13,1.36382973318055e-40,5.69114990362571e-38
TBCA,1.37016524934189e-40,5.69443936676039e-38
EIF2S3,1.41807293203728e-40,5.85508888764692e-38
PFDN4,1.42022731785491e-40,5.85508888764692e-38
MYL9,1.43802926273043e-40,5.90476601475672e-38
SRSF7,1.50719999449215e-40,6.16413497884736e-38
ARF4,1.61649390309715e-40,6.58488974758336e-38
THOC7,1.66443738418185e-40,6.75339136596205e-38
SLC25A4,1.68219508225857e-40,6.79857072928613e-38
UQCRC1,1.69168920892476e-40,6.81012959157833e-38
HMGN1,1.94833270633823e-40,7.81264576697072e-38
PSMB2,2.07050631831454e-40,8.27024574465164e-38
TIMM17A,2.1272992577331e-40,8.46415992142117e-38
VAPA,2.18692310552588e-40,8.66779690249001e-38
BTF3L4,2.20147249435259e-40,8.69190344782702e-38
LDHB,2.42619368936657e-40,9.46988484583159e-38
KDELR2,2.41963025203231e-40,9.46988484583159e-38
SEPT2L,2.41608046753536e-40,9.46988484583159e-38
PSMD13,2.45642105317266e-40,9.55155018282184e-38
SSBP1,3.12196534558894e-40,1.20936440452236e-37
ATP6V1G1,3.17171787847286e-40,1.22401824487652e-37
OAZ2,3.33108699708766e-40,1.2807067294945e-37
HADH,3.39362588811091e-40,1.29988265225828e-37
TIMM8A,3.52432811926536e-40,1.34492799207873e-37
DYNLRB1,3.62209408416637e-40,1.37711732020666e-37
ERH,3.73820388299643e-40,1.41601766447484e-37
HNRNPA1,4.00315408903936e-40,1.51080488685455e-37
BLMH,4.04497049290596e-40,1.52099465736768e-37
MRPS21,4.66332319338397e-40,1.74710871599355e-37
SUB1,4.85605008057968e-40,1.81269793857385e-37
RBMX,5.02121667551002e-40,1.86756126683866e-37
SPTBN1,5.09597525946121e-40,1.88852404851594e-37
MPC2,5.14169841954848e-40,1.89371875151015e-37
BUD31,5.14688784982158e-40,1.89371875151015e-37
NDUFV3,5.63077172366862e-40,2.06366305405229e-37
EEF1A2,5.64898122375132e-40,2.06366305405229e-37
ENSGALG00000042589,5.86212723866953e-40,2.13393462380364e-37
POLR2E,5.98369089768239e-40,2.17048951920079e-37
NDUFV1,6.65111658598065e-40,2.40409263633395e-37
EIF3F,7.61510765490594e-40,2.74287594059457e-37
SMAD6,7.8703825730761e-40,2.82491111984553e-37
CLTC,8.19792284421056e-40,2.9322224030303e-37
SDHA,8.31904007510154e-40,2.96521170886573e-37
PPIL1,8.64665130051674e-40,3.07132008744935e-37
ACP1,8.71016244390623e-40,3.07261568622288e-37
UBE2D3,8.68501915681305e-40,3.07261568622288e-37
SKP1,9.0946415354483e-40,3.19725821799967e-37
ATOX1,9.17353708042226e-40,3.21398746131438e-37
TNNI1,9.28458865629904e-40,3.24183058176114e-37
SRSF6,9.46102084780881e-40,3.29223601266058e-37
ILF2,9.51370465779725e-40,3.29938451476562e-37
HNRNPAB,1.05015686948118e-39,3.62971650274306e-37
EIF3G,1.08692782239723e-39,3.74420327914897e-37
YWHAB,1.12190154273155e-39,3.85175393224943e-37
ENSGALG00000009250,1.15559804461326e-39,3.95421720394136e-37
SELENOK,1.25539492058254e-39,4.28143001389079e-37
HDAC2,1.34131779262424e-39,4.5593162803608e-37
EIF3M,1.42553526207032e-39,4.81370374605297e-37
MAGOHB,1.42282156538283e-39,4.81370374605297e-37
LSM3,1.54254055386859e-39,5.19172558169734e-37
CCT6A,1.65436636596e-39,5.54990109131663e-37
HDGF,1.72025186291737e-39,5.75212928986696e-37
TOMM22,1.82945865821821e-39,6.09743053111467e-37
PSMA6,1.841483846383e-39,6.11764697310561e-37
MRPS33,1.93903190857777e-39,6.42093450056382e-37
ATP1B1,1.94861204165194e-39,6.43191017563951e-37
SDCBP,1.9907973393645e-39,6.55009253364754e-37
UCHL3,2.00335491806852e-39,6.5703504813329e-37
UCH-L1,2.19333562908181e-39,7.17051622945864e-37
SF3B5,2.20894655954434e-39,7.19862637281045e-37
ACTA2,2.24020107344188e-39,7.27737737252796e-37
TOMM20,2.3938425410495e-39,7.75195594764477e-37
MRPL21,2.41172887118263e-39,7.78531770670291e-37
POLR2I,2.59783077312197e-39,8.35978583604909e-37
SRSF2,2.63861960815794e-39,8.46450926795352e-37
DUT,2.85879879961615e-39,9.14225933048283e-37
SOD2,3.08921829218913e-39,9.84844590488062e-37
SDHD,3.18729531218098e-39,1.01296574522283e-36
ITGB1,3.22638018099875e-39,1.0222226713748e-36
TXNDC5,3.24261997295834e-39,1.02420683593371e-36
MRPS36,3.32176451733805e-39,1.04598683717716e-36
PSMA7,3.42809340637953e-39,1.0728865003096e-36
PSMB3,3.41927308942032e-39,1.0728865003096e-36
GOT1,4.16173251962084e-39,1.29853375605153e-36
CCNB2,4.28305276209053e-39,1.3323381458547e-36
TMSB4X,5.20599640044319e-39,1.61454757784545e-36
SNRPB2,5.3064330638851e-39,1.64073931377706e-36
NDUFS8,5.59001200035746e-39,1.72323094312557e-36
C1QBP,5.80971689456754e-39,1.78559713648466e-36
TOP2B,6.52462868064234e-39,1.99677568091022e-36
TIMM10,6.53572211081917e-39,1.99677568091022e-36
LLPH,7.06195066830651e-39,2.15114535106119e-36
ENSGALG00000053871,7.2400142672578e-39,2.19886060993362e-36
UBE2N,8.05001727496644e-39,2.43765416753104e-36
SEM1,8.14971301700052e-39,2.4605850244453e-36
PRELID1,8.36274303554641e-39,2.51749925679876e-36
YBX3,8.72438543267975e-39,2.61868774373733e-36
ENSGALG00000021692,8.83759321471135e-39,2.64493415731566e-36
EIF3B,8.93974467355359e-39,2.66772863403796e-36
NSA2,9.00831304107622e-39,2.68039841373509e-36
MRPL9,9.71323794849387e-39,2.88179382773088e-36
ACTR10,1.12637933675554e-38,3.33219323027403e-36
TSN,1.1745814654434e-38,3.46480563696387e-36
IDH2,1.24140782509226e-38,3.65143882778732e-36
SNRPN,1.33101532987037e-38,3.90382185270099e-36
BZW2,1.34374169736528e-38,3.92991950624291e-36
ACTR6,1.44904334494268e-38,4.20197140180642e-36
ENSGALG00000004725,1.44174260520529e-38,4.20197140180642e-36
PHPT1,1.44634027531513e-38,4.20197140180642e-36
SNU13,1.53368200844325e-38,4.43488076062062e-36
TMEM50A,1.59162914209721e-38,4.58951572322853e-36
MRPS18C,1.71436556944855e-38,4.9295831619033e-36
PIN4,1.76062513293575e-38,5.04845916984497e-36
ENSGALG00000038672,1.78383968053526e-38,5.10077714531647e-36
CDK1,1.90762409831558e-38,5.43957885657451e-36
SRSF1,2.00187032596684e-38,5.69250889372787e-36
RSL24D1,2.06574054926675e-38,5.85790307719325e-36
GTF2A2,2.2299831910244e-38,6.29482628865026e-36
ENSGALG00000030808,2.23257887275336e-38,6.29482628865026e-36
EIF3I,2.2419230922947e-38,6.29482628865026e-36
NDUFS5,2.24434624141901e-38,6.29482628865026e-36
EBNA1BP2,2.25706983209988e-38,6.31326340432458e-36
NDUFB9,2.36254678696076e-38,6.59033630027611e-36
HSPD1,2.51031812932825e-38,6.98356812546237e-36
COA6,2.61330122439334e-38,7.25041266452578e-36
LDHA,2.70233529248441e-38,7.47722244998358e-36
MAPRE1,2.823426577094e-38,7.79127505091313e-36
ITM2B,2.86888270237018e-38,7.87437634542991e-36
AIF1L,2.86558923185656e-38,7.87437634542991e-36
GDI2,3.41002215207767e-38,9.33471171739771e-36
TUBA1A,3.47193847084768e-38,9.45378339609567e-36
APOBEC2,3.46330268478419e-38,9.45378339609567e-36
SF3B6,3.56206677524635e-38,9.67353560426321e-36
TIMM13,3.71799952945164e-38,1.00703623656234e-35
GCSH,3.75675599832962e-38,1.01485587362618e-35
HSPB1,4.06929024220278e-38,1.0963990966876e-35
EIF4H,4.22205891217251e-38,1.134582037757e-35
ENSGALG00000048179,5.06112239444484e-38,1.35651013796194e-35
NDUFV2,5.11665941892221e-38,1.36782413736729e-35
VDAC3,5.30829927751529e-38,1.41536889888681e-35
SUGT1,6.19477676942928e-38,1.64745414030675e-35
PDCL3,6.90974561148828e-38,1.83284640244733e-35
CCT2,7.13670249631786e-38,1.88816892158828e-35
RANBP1,7.27211217354625e-38,1.91904847765861e-35
RBP5,7.3630306626726e-38,1.93805893608377e-35
RRM1,7.61815185111107e-38,2.00008220291517e-35
CAPZA1,7.72621151523944e-38,2.02327774270312e-35
TRAM1,7.79491756945998e-38,2.0360758570743e-35
OLA1,8.45936285178575e-38,2.20402445851226e-35
PSMA4,1.01610528032092e-37,2.64068495021387e-35
POPDC2,1.08024224755892e-37,2.80027672070221e-35
DNAJC15,1.1343061733266e-37,2.93301825913092e-35
MICOS13,1.1650534322353e-37,3.00495345402046e-35
ATF4,1.22007516964615e-37,3.13113343026491e-35
U2AF1,1.21873286309859e-37,3.13113343026491e-35
LSM5,1.24797228296668e-37,3.19474018836743e-35
SEPT7,1.2627044104054e-37,3.22441269236795e-35
MRPL27,1.45787580690918e-37,3.71356013146014e-35
GPX4,1.46638042771865e-37,3.72597784245714e-35
HADHA,1.50073515183959e-37,3.80385549099088e-35
ENSGALG00000000629,1.55250077495921e-37,3.92537154337816e-35
SSR1,1.5734888132664e-37,3.96866305370475e-35
CKB,1.74430720129023e-37,4.38871913707632e-35
NUDT21,1.75271102067724e-37,4.3990812880767e-35
IMPDH2,1.84711204368159e-37,4.62470846923208e-35
NDUFB3,1.86750349489597e-37,4.66438703013354e-35
UBE2C,1.971259051489e-37,4.91158271354199e-35
NDUFA1,2.07659321180221e-37,5.16150504378268e-35
EIF2S1,2.1648571395086e-37,5.36789335236133e-35
PSMC2,2.38518501476179e-37,5.89995845003474e-35
PFKP,2.40784077543138e-37,5.94168209899246e-35
CLEC19A,2.4256659896292e-37,5.97131417430844e-35
SRP19,2.55870430124029e-37,6.28374850812017e-35
PPA1,2.72518820374629e-37,6.67663223844973e-35
ADH5,2.85761916110854e-37,6.98441500351907e-35
TPM4,2.87587779990556e-37,7.01234557185473e-35
PDCD5,3.11148447855552e-37,7.56885465642324e-35
DDX3X,3.22518751284815e-37,7.82689630313318e-35
COX3,3.39622930129877e-37,8.22254247710862e-35
MRPL13,3.51206111663487e-37,8.48297354324161e-35
SRSF3,3.59691616789556e-37,8.66753680725352e-35
PAFAH1B1,3.69626088644453e-37,8.88606978026059e-35
HDLBP,3.75707509758846e-37,9.01116796087524e-35
UQCRFS1,3.78319879111803e-37,9.05267330559463e-35
GLRX3,4.14909865774839e-37,9.88215062572794e-35
TPRG1L,4.14199923092088e-37,9.88215062572794e-35
AKIRIN2,4.38733928129953e-37,1.04253933869224e-34
MSN,4.40219930562811e-37,1.04276662113225e-34
TMED2,4.40861194263357e-37,1.04276662113225e-34
PPIH,4.79023399481195e-37,1.13042681063148e-34
CSRP3,4.8407285200482e-37,1.13972274515755e-34
NDFIP1,4.95555791252064e-37,1.16408876188425e-34
MRPS31,6.00917576010084e-37,1.40196511723918e-34
VCP,6.00124177940394e-37,1.40196511723918e-34
ENSGALG00000034354,5.98480496683363e-37,1.40196511723918e-34
ENSGALG00000015805,6.19612295833115e-37,1.4423026973875e-34
PSMA3,6.34284741096622e-37,1.47311608672206e-34
TIMM44,6.60113781951532e-37,1.52964288723729e-34
PSMA1,6.91575110734856e-37,1.59893703748434e-34
SRP14,6.98867373187573e-37,1.61216590617057e-34
SPCS1,7.22236627061554e-37,1.66233913107686e-34
NIPSNAP2,7.4739491255446e-37,1.71639638789983e-34
EIF4EBP1,7.56409759555249e-37,1.73322157874047e-34
PDHA1,7.68443557208842e-37,1.75296981410752e-34
CYB5B,7.67865375167792e-37,1.75296981410752e-34
WAS,7.87513149302604e-37,1.79248797094293e-34
CCT5,8.35996866302031e-37,1.89743947892441e-34
AP2M1,8.37319406137223e-37,1.89743947892441e-34
MRPL50,8.51474811564485e-37,1.92526683647838e-34
DGUOK,8.79699979663728e-37,1.98471505021101e-34
NAP1L4,9.83622440022793e-37,2.21431072253893e-34
HIKESHI,9.87671341603695e-37,2.21856026324526e-34
GLRX5,1.08703169352498e-36,2.43641747780164e-34
PRDX6,1.12424276252575e-36,2.51433066783281e-34
MRPL46,1.17737437870367e-36,2.62743346284119e-34
CNI,1.20233769630651e-36,2.67152637210892e-34
CACYBP,1.20024131858532e-36,2.67152637210892e-34
MRPL14,1.20670359764417e-36,2.67543617061848e-34
ENSGALG00000054599,1.27090527323485e-36,2.81170775567849e-34
EIF2S2,1.33512627849764e-36,2.94743589873938e-34
BUB3,1.37513080589603e-36,3.02923574133815e-34
JPT2,1.46994259110587e-36,3.2311600513639e-34
FH,1.63595600924267e-36,3.58839915700539e-34
SMARCE1,1.71754366725286e-36,3.75932542977903e-34
SUCLG1,1.733917499584e-36,3.78350306892466e-34
PSMD3,1.73596122334682e-36,3.78350306892466e-34
PTN,1.80449991000278e-36,3.92454979496863e-34
ENSGALG00000007131,2.04049103311729e-36,4.41907453436433e-34
ENSGALG00000051459,2.03693428524013e-36,4.41907453436433e-34
ADRM1,2.15545161167047e-36,4.65821624698207e-34
PPP2CA,2.23057927893323e-36,4.81044981770863e-34
C26H6ORF125,2.25318441673988e-36,4.84901287916059e-34
ENSGALG00000034288,2.440792830249e-36,5.24177047178532e-34
LAPTM4A,2.53176095507561e-36,5.42577977259783e-34
IPO5,2.58910253733546e-36,5.53710795225424e-34
ANAPC16,2.64716427562674e-36,5.64951016742609e-34
PRDX3,2.72211381699368e-36,5.79741272503357e-34
ENSGALG00000024295,2.89289650163629e-36,6.14838059557434e-34
DARS,2.90632084706855e-36,6.16414964193593e-34
COX17,2.92325625483417e-36,6.18728508082185e-34
G3BP1,3.04701956831652e-36,6.43596912147244e-34
RPN2,3.20739063327173e-36,6.76079664328874e-34
MRPS26,3.28734518261052e-36,6.91513184111498e-34
TAF13,3.35216775818547e-36,7.03706987209218e-34
ETFA,3.44515842088513e-36,7.21752164233582e-34
SPTAN1,3.51342128417113e-36,7.34553975431799e-34
AURKAIP1,3.85044755584833e-36,8.03380132550645e-34
TAZ,3.96479497949553e-36,8.25560286702369e-34
LAMB1,4.03270054649544e-36,8.3799996961497e-34
FSTL1,4.34063751323711e-36,9.00167436242518e-34
