,combinedPval,adjustedPval
MYH15,3.96706961671096e-144,4.63399734525602e-139
MYH7,1.28202207830772e-124,7.48775227237264e-120
MYH1D,1.19305093143027e-79,4.6454061252285e-75
IRX4,4.97954533229788e-76,1.454171597673e-71
ND6,4.05674495673868e-74,9.47749708284358e-70
FABP3,5.67296315589895e-74,1.10444646990114e-69
CKB,2.09072479405378e-72,3.48887000855186e-68
TUBAL3,1.24081526104784e-70,1.81177014181566e-66
SFRP1,6.81982250927359e-70,8.85149281921844e-66
PLN,4.94950442875836e-64,5.78159513172724e-60
LDHB,2.10552012816693e-62,2.23590151994588e-58
ENSGALG00000050984,1.38195926983002e-59,1.34524056931678e-55
SERPINE2,9.23982290022433e-58,8.30244971093462e-54
ATP2A2,2.30560988002959e-56,1.92372836078998e-52
CST3,6.18225585431574e-56,4.81439450014739e-52
IGFBP7,6.60786242082837e-56,4.82421848405242e-52
GATA5,3.11853262299132e-55,2.14282808104252e-51
KCNJ5,4.0969447366333e-55,2.6587258589012e-51
CAV3,1.79516394564465e-51,1.10366297944649e-47
CSRP3,1.6131007843121e-48,9.42144387968943e-45
MYL10,1.09981776309329e-47,6.11768897791155e-44
UBC,2.62331855028501e-47,1.39288194290286e-43
SMAD6,5.08199880682648e-47,2.58102779554107e-43
ENSGALG00000045540,1.13880898476231e-46,5.54275397419325e-43
TPM1,4.62307105116301e-46,2.16011323701257e-42
SLN,5.06725883174141e-46,2.27659458829027e-42
ND4,6.40627360227515e-46,2.77158165095839e-42
POSTN,3.12980172671984e-45,1.30570405633045e-41
TESC,7.93906907505397e-45,3.19784597145416e-41
CYTB,3.47685407871836e-44,1.35378958335342e-40
LDHA,9.98843269848113e-43,3.76375731598379e-39
SFRP2,3.53262779348547e-42,1.2504602777547e-38
ND2,3.43828995833504e-42,1.2504602777547e-38
ATP6,6.29521707553081e-42,2.16280692820948e-38
TMSB15B,1.27690287134964e-41,4.26163036316957e-38
ND5,4.80056722515533e-41,1.5576720018687e-37
FKBP1B,5.74022381173754e-41,1.81222893653181e-37
APOA1,6.82656953917354e-41,2.09848022384867e-37
BAMBI,2.60314412786785e-40,7.79685694748285e-37
EEF1A1,3.60603746065155e-40,1.05306748015979e-36
FKBP1A,4.91557512273979e-40,1.40047847994061e-36
LRRC3B,4.13031322622039e-39,1.14873447889692e-35
ID2,6.20913741530522e-39,1.68674244900485e-35
MYOM2,9.42278415380665e-39,2.50156922389059e-35
MGST3,2.1907899595276e-38,5.68688160690561e-35
ENSGALG00000048305,2.36764461860799e-38,6.01235537716166e-35
STMN1,3.68853186882459e-38,9.16730416101467e-35
ENSGALG00000020788,4.03434976776357e-38,9.81789242434911e-35
ND1,4.6764753625728e-38,1.11482969819947e-34
TNNC2,7.11989043813068e-38,1.66337153499039e-34
HAPLN3,4.68358381163913e-37,1.0727390223536e-33
FN1,6.44930108833255e-37,1.44875606747985e-33
ENSGALG00000015617,1.93132757546944e-36,4.25663126512161e-33
COX6C,2.9678854060661e-36,6.42006355354437e-33
SNRPF,6.74803378167609e-36,1.43317926884235e-32
Meis2a.2,7.36917386352768e-36,1.5371517184727e-32
TMSB4X,1.54621000835303e-35,3.16868875924324e-32
S100A6,1.90760608504879e-35,3.84190537739667e-32
SEPSECS,3.20338245823663e-35,6.34224099114006e-32
LUM,3.56761313767994e-35,6.94564309268664e-32
MYL9,4.42494098052902e-35,8.47351507260877e-32
TXN,7.06352156846954e-35,1.33080843524025e-31
AKR1D1,7.78997304023417e-35,1.4443796601488e-31
ACTC1,1.12148023860828e-34,2.04690463876038e-31
EIF4G2,1.64952850498799e-34,2.96437011992589e-31
KRT19,1.78850848402563e-34,3.16543228786456e-31
HSPB1,2.29574576977625e-34,4.00253325441663e-31
MYOZ2,2.73992422830163e-34,4.70669004153452e-31
HDGF,5.39729113436315e-34,9.13719120365674e-31
EEF1D,5.58317593559012e-34,9.31685276299822e-31
REEP1,5.70739654177836e-34,9.39000141846426e-31
ATP5MC3,6.41832138806555e-34,1.04129773173433e-30
EEF1B2,7.60277024453468e-34,1.21656401164102e-30
SEC61G,1.16913893592062e-33,1.84552682960635e-30
ENSGALG00000042611,1.22531350082242e-33,1.90841101317336e-30
KRT7,1.54574252494293e-33,2.37579804991435e-30
GHITM,3.58411073496711e-33,5.43721683422442e-30
SEM1,3.69758036686861e-33,5.53743929574677e-30
NEXN,4.06468369005339e-33,6.01015430700252e-30
CRIP1,4.55877207019653e-33,6.65646803308202e-30
ENSGALG00000007699,5.52211058530428e-33,7.96353768351749e-30
CFC1,5.62698517486104e-33,8.0158185436757e-30
CNMD,5.80048663861974e-33,8.16342293399866e-30
NDUFA4,6.36025664628522e-33,8.84466347229915e-30
ITGB1BP3,1.21577513741793e-32,1.67078393567905e-29
VCAN,1.49114785852654e-32,2.02538792628392e-29
PPIA,2.13937958213222e-32,2.87246372484224e-29
TMEM158,2.83454464751127e-32,3.76258732993126e-29
PITX2,5.16356575072766e-32,6.77712761681037e-29
COX7C,5.33753314857482e-32,6.92761963712494e-29
