,combinedPval,adjustedPval,cluster
EMC3,1.51184623169431e-05,0.000769321402381509,5
DBNDD1,1.51909161107966e-05,0.000772672649330896,3
CUL3,1.52256545538076e-05,0.000774103461529243,8
GEMIN6,1.52687576446819e-05,0.000775958123569704,8
NMI,1.53161965501525e-05,0.000778031427561471,7
POLR2K,1.5479404649299e-05,0.000785448379179554,6
ENSGALG00000013505,1.5482321037652e-05,0.000785448379179554,7
FAM241A,1.54735869196676e-05,0.000785448379179554,1
NDUFAF1,1.5539667119091e-05,0.00078801637750154,8
URAH,1.57167573187067e-05,0.00079665174901757,1
ENSGALG00000052043,1.58733836150837e-05,0.000804242823828364,8
PAFAH1B1,1.60214478117648e-05,0.000811393713951161,1
PTRHD1,1.6106131919269e-05,0.000815329975540869,6
KLHDC3,1.61471158499626e-05,0.000817051587160107,1
MTFR1,1.61933521167779e-05,0.000819037367969468,7
PYGO2,1.6232579517661e-05,0.000820667088930003,5
DEK,1.6284891667051e-05,0.00082295664122369,6
DHX38,1.63298742581475e-05,0.000824873979571182,5
TIAL1,1.6374525417806e-05,0.000826416716497137,7
PNRC2,1.63700031647895e-05,0.000826416716497137,6
STON1,1.64475341437598e-05,0.000829743947849557,7
RIOK2,1.64917684130073e-05,0.000831617327892949,8
ENSGALG00000012259,1.6537377221848e-05,0.000833465936605539,2
MTG2,1.65426583387251e-05,0.000833465936605539,8
SNAP23,1.65752613252579e-05,0.000834749535263069,7
TMEM100,1.67607993893926e-05,0.000843730710137101,3
FEN1,1.68185512376962e-05,0.000846274234774278,6
MRPS7,1.68756947237503e-05,0.000848784976821863,6
ENSGALG00000013809,1.69505061784481e-05,0.000851450956570413,8
ENSGALG00000004440,1.6944668662866e-05,0.000851450956570413,8
MYO19,1.69380070866865e-05,0.000851450956570413,8
AGRN,1.69987282327977e-05,0.000853507229306582,3
GJC1,1.70266069825509e-05,0.000854540739039114,8
GABPA,1.72500183313051e-05,0.00086538265864327,9
PREP,1.7310930896075e-05,0.000868066699731888,6
ENSGALG00000054208,1.73191032970532e-05,0.000868104889289206,7
FAM204A,1.73672387300261e-05,0.000870145301404629,9
SPATS2L,1.73964067944343e-05,0.000871234059020712,9
DNAJC2,1.7503587408596e-05,0.000876181343879459,8
BRIX1,1.75176312587899e-05,0.000876181343879459,6
HSD17B4,1.75142381100279e-05,0.000876181343879459,9
SLC16A1,1.75567013047662e-05,0.000877760723701673,6
LAMTOR3,1.76338535421428e-05,0.00088124189198154,1
CNOT11,1.76472193196275e-05,0.000881533758223253,6
MAGT1,1.76673451658393e-05,0.000882162918263519,7
TMLHE,1.78197411493386e-05,0.000889393218480452,8
ATP6V1E1,1.78656425867674e-05,0.000891288652164569,6
DPM1,1.78729352415807e-05,0.000891288652164569,3
NECAB1,1.79044827774977e-05,0.000892481925438386,3
ST13,1.79242822904158e-05,0.000893088830831616,9
NOTCH1,1.79900246093379e-05,0.000895983376577005,5
ENSGALG00000030808,1.82292717803012e-05,0.000907513104201654,6
TLDC1,1.82601294191898e-05,0.000908663126779867,2
INTS11,1.84255593395077e-05,0.000916505933908372,8
NAPA,1.85216707662139e-05,0.000920895574897881,6
SNX14,1.87078152125153e-05,0.000929756024429945,5
UHRF1,1.87214021458715e-05,0.000930036693819507,6
CALR,1.87403245504036e-05,0.000930582066971517,2
ACAD8,1.89577671176888e-05,0.000940980650622235,1
STX8,1.91779581466545e-05,0.000951139706899799,5
CENPS,1.91786791443604e-05,0.000951139706899799,6
CASP2,1.92519607684627e-05,0.000954369954686747,3
ACOT13,1.93304771353153e-05,0.000957856859700048,8
AK2,1.93539661887954e-05,0.000958615275225487,8
GNAI3,1.94666919490771e-05,0.000963791137091706,6
TBP,1.95172931403143e-05,0.000965888152890446,6
DNM1,1.95445018753571e-05,0.000966826220971579,3
KRIT1,1.9585905993158e-05,0.000968465417005349,6
ENSGALG00000041419,1.96621288031107e-05,0.000971824185171155,1
CHGA,1.97020043827267e-05,0.000973384372584169,7
PDE6D,1.98947976128849e-05,0.000982495009099683,3
PMM2,2.00975367802281e-05,0.000992088935372174,6
PPP2CA,2.02468801220324e-05,0.000999040073494795,6
TMEM203,2.02675352343196e-05,0.000999638179351221,9
ACE,2.03792558082228e-05,0.00100472543467937,8
ENSGALG00000023472,2.05429221131759e-05,0.00101236832842644,3
ENSGALG00000004009,2.05842385897492e-05,0.00101397785197405,2
NMRK1,2.08104470860171e-05,0.00102468995926415,7
AKIRIN2,2.08330793485256e-05,0.00102537334374151,3
PDZD11,2.10624690735184e-05,0.00103579315221816,1
CSTF2,2.10562630833522e-05,0.00103579315221816,8
PDCD10,2.10753392752006e-05,0.00103599114772298,5
PRKCD,2.11238573888384e-05,0.00103794057075599,3
TIMM21,2.1159543776017e-05,0.00103911160336891,1
WARS,2.11654312464171e-05,0.00103911160336891,8
GINM1,2.13821351036092e-05,0.00104931084732396,3
MYO18B,2.14474306486911e-05,0.00105207442121584,1
PPP1R2,2.16244331381343e-05,0.00106031301943824,8
TOP2A,2.17274179425964e-05,0.00106491692533707,6
HACD3,2.18691950251149e-05,0.00107141749484925,7
ATL1,2.18868243051507e-05,0.0010718329119726,3
RRM2,2.19549302439281e-05,0.00107471887190921,6
TTC19,2.21615655443541e-05,0.00108438075850839,8
RAB15,2.24631940446418e-05,0.00109868071907469,3
RSRC1,2.24820347833887e-05,0.00109914329207294,2
MAP2K5,2.27805523822511e-05,0.00111327313428586,5
ELAVL1,2.28264810178125e-05,0.00111505245491055,9
ENSGALG00000048205,2.28916172482219e-05,0.00111776817425732,9
PFKL,2.2909797010251e-05,0.00111812788215375,2
CTPS1,2.29180744184543e-05,0.00111812788215375,6
SF3B3,2.29974998473548e-05,0.00112153578103967,6
MED21,2.32077336252967e-05,0.00113131741464323,7
EFHD1,2.33138651948295e-05,0.00113554594919498,1
ENSGALG00000054143,2.3307295413777e-05,0.00113554594919498,7
MBNL1,2.33931409503452e-05,0.00113888861386091,5
WDR5,2.34019382595596e-05,0.00113888861386091,8
FAM20A,2.34250999375796e-05,0.00113954238137598,7
MOB3A,2.35268907939901e-05,0.00114401903001332,8
C9orf85,2.35484004609265e-05,0.00114458982878988,9
DPM2,2.36658443470983e-05,0.00114982118352269,3
MRPL38,2.39879605157256e-05,0.00116498822009671,1
PPID,2.41311406905531e-05,0.00117145616404723,9
ENSGALG00000040527,2.4200978069433e-05,0.00117435976798526,1
NME3,2.43053200064125e-05,0.00117893461807213,9
RCBTB1,2.45624515395892e-05,0.001190913704769,8
JPT2,2.46843187865498e-05,0.00119632728574397,3
SLC35E3,2.48610102345781e-05,0.00120439234896685,6
SNX24,2.51067933076943e-05,0.00121579650614838,1
DDX49,2.51370191505229e-05,0.00121675719255617,8
CCZ1,2.54167275387518e-05,0.00122978829766427,6
PERP2,2.59108605936698e-05,0.00125317929548855,1
PSEN2,2.59577376457987e-05,0.00125492836783206,2
GALNS,2.60290370177607e-05,0.00125785620846225,7
DNM1L,2.6244247019358e-05,0.00126721070316339,2
ACOT8,2.62405117069653e-05,0.00126721070316339,1
EIF2B1,2.66954688852294e-05,0.0012884669677927,6
CHRAC1,2.67122108772444e-05,0.0012887440235165,6
APP,2.67445696104929e-05,0.00128977397845331,5
PENK,2.69421017626836e-05,0.00129823114995934,3
HPGDS,2.69323328185855e-05,0.00129823114995934,8
GNG10,2.69718788989959e-05,0.00129913158784846,5
MTMR14,2.7074215121381e-05,0.0013035247409821,2
SLC35C1,2.72137430785691e-05,0.00130970419503689,7
NCOA4,2.74758621997551e-05,0.00132177604322394,3
RASL11A,2.74951671352941e-05,0.00132216175982021,1
ENSGALG00000042150,2.7541761539629e-05,0.00132334098673075,8
GBF1,2.75422840467776e-05,0.00132334098673075,6
C1H12ORF73,2.76350212502496e-05,0.00132687419590687,9
SGF29,2.76384741165758e-05,0.00132687419590687,5
SULT1B1,2.77491044317069e-05,0.00133163960747777,7
ENSGALG00000037156,2.7788692062769e-05,0.00133299327603536,7
MAPK6,2.79916077754461e-05,0.00134217729949505,5
RASD2,2.80381285961973e-05,0.00134385785404196,2
NIM1KZ,2.80766440583502e-05,0.00134515349674972,8
CSE1L,2.8105096498976e-05,0.00134596615727399,6
TBL1X,2.81397701786812e-05,0.00134652569373682,8
ABHD17A,2.81316163140977e-05,0.00134652569373682,8
H2AFY,2.8294019783659e-05,0.00135335390329169,3
FGF12,2.83140916240709e-05,0.00135376119433893,8
SCAMP2,2.83324003234053e-05,0.00135408388764362,7
MGLL,2.84970357069536e-05,0.00136084183058665,2
SNRNP27,2.84908471557266e-05,0.00136084183058665,6
ENSGALG00000055069,2.86300603442591e-05,0.0013666371340405,8
CABP1,2.87365516684623e-05,0.00137116168189495,8
POMGNT1,2.88509162440498e-05,0.00137596110157203,2
NOL9,2.88606295899552e-05,0.00137596110157203,5
MED20,2.89102318099532e-05,0.00137776518898513,8
OSBPL9,2.90640563227473e-05,0.00138453267591994,7
CNI,2.92082569585128e-05,0.00139027124093238,6
CHCHD4,2.91964360459307e-05,0.00139027124093238,1
MFAP1,2.92617733956835e-05,0.00139225282031109,8
ENSGALG00000005753,2.94155780686811e-05,0.00139797980085382,9
LRRC40,2.94179433903974e-05,0.00139797980085382,3
CSNK1D,2.94083258604028e-05,0.00139797980085382,5
LMO2,2.95024945284883e-05,0.00140113244002342,3
MAIP1,2.95082072909736e-05,0.00140113244002342,1
RRAGB,2.95797160475564e-05,0.00140395878076344,8
EOGT,2.96727536697183e-05,0.00140780425488967,5
SMC2,2.99155400947937e-05,0.00141874847218859,6
SLC44A1,3.00290969574846e-05,0.00142355758241937,7
POLE,3.01556490247545e-05,0.00142897860246769,8
TMX3,3.02821351352289e-05,0.00143439211413576,7
RAB10,3.05358845431591e-05,0.00144582697005549,5
ENSGALG00000016524,3.05916984928434e-05,0.00144788443409521,3
SNX11,3.14191880140813e-05,0.00148644836921327,1
GNG2,3.17663204233432e-05,0.00150226454581075,2
PPP3R1,3.18122742263283e-05,0.00150383063441466,8
SNTA1,3.18794597944372e-05,0.00150639872320577,2
METTL7A,3.19814725842082e-05,0.00151060976655935,1
CIR1,3.20282247741055e-05,0.00151220829354266,8
SH3GL1,3.21199287097729e-05,0.00151592706790355,3
IPO9,3.2369839957358e-05,0.00152710656697165,9
CXXC5,3.23884807060804e-05,0.00152737084724889,6
DDX10,3.25266081848685e-05,0.00153326738363233,5
OAZ,3.25693142428918e-05,0.00153466292813019,3
SAP30,3.2691507494742e-05,0.0015398012732173,7
HTR1B,3.29610881620868e-05,0.00155187478582295,3
SMIM19,3.36212370999345e-05,0.00158231995410869,6
TCEA2,3.36717782840612e-05,0.00158406215424562,6
TMEM14A,3.39772392159432e-05,0.00159779063899061,3
PRPF8,3.41327211063058e-05,0.0016044581230443,6
CACYBP,3.42913441203629e-05,0.00161126785198737,8
RWDD3,3.45288238865482e-05,0.00162177592363543,3
CANX,3.45565649571e-05,0.00162242835460493,8
SOSTDC1,3.46822096474186e-05,0.00162740161797373,8
ENSGALG00000047233,3.46902774788216e-05,0.00162740161797373,5
NRXN1,3.48263598939358e-05,0.00163313152318672,2
ENSGALG00000039995,3.53865318059032e-05,0.0016587359451269,7
ARHGAP17,3.5588520378993e-05,0.00166753683370231,5
GLI2,3.58253112637819e-05,0.00167796073057855,3
PPP1CB,3.60169790805109e-05,0.00168626369718084,2
