,combinedPval,adjustedPval,cluster
MYL4,5.25944608698165e-56,5.44403788448893e-51,1
UBC,1.68350596799232e-55,8.71296151433046e-51,2
NDUFB4,9.97863018223373e-55,3.44295069917786e-50,3
SPARC,1.69815516315157e-54,4.39438910915958e-50,4
RPL7,7.53534519825913e-54,1.55996293349466e-49,5
RPL24,1.8329835253171e-53,3.16219350493021e-49,5
DYL1,5.1066427387581e-53,7.55124509653016e-49,2
RPL8,1.16682946840864e-52,1.5097273851894e-48,5
RPS8,1.37778763182276e-52,1.58460456785225e-48,5
RPL39,1.98273629712716e-52,1.98185396427704e-48,5
RPL10A,2.10612044375972e-52,1.98185396427704e-48,5
RPL6,4.66034706778366e-52,4.01992680919393e-48,5
RPS7,5.2760973940173e-52,4.20097969667015e-48,5
EEF1A1,6.03312075895028e-52,4.46061883299838e-48,5
RPS6,9.02877906300235e-52,6.2304425797906e-48,5
COX7A2,1.08542019183036e-51,7.02197121520558e-48,3
EIF4G2,1.20780994609832e-51,7.35412168000123e-48,4
RPL27A,1.71976028939608e-51,9.8895502733708e-48,5
EEF1D,3.26344107590655e-51,1.77788352585649e-47,5
RPL27,4.69152238957026e-51,2.42809082956169e-47,5
RPL26L1,9.65567712809039e-51,4.75931633215594e-47,5
RPS24,1.0833114698643e-50,5.09696664656251e-47,5
CIRBP,1.21099107304134e-50,5.44997157031042e-47,2
RPL3,1.4348199172573e-50,6.18824195693549e-47,5
RPS14,1.54907143724679e-50,6.41375798947756e-47,5
RPL12,1.76741200002855e-50,7.03632000443203e-47,5
RPL11,1.84935713827975e-50,7.08986808809165e-47,5
RPL37A,1.95937715157507e-50,7.24337782423502e-47,5
RPL9,2.04549350585964e-50,7.30098133595942e-47,5
RPL35,2.27895793242806e-50,7.60949341991298e-47,5
RPL23,2.21921742805594e-50,7.60949341991298e-47,5
SLC25A6,2.36050539030918e-50,7.6354765780326e-47,1
RPS11,3.39726604786432e-50,1.06560622788894e-46,5
RPL7A,4.13207269587952e-50,1.25796966212576e-46,5
ENSGALG00000051598,4.99198956779883e-50,1.47634125487846e-46,3
NME2,5.47772983974825e-50,1.57499521788461e-46,5
H3F3B,5.81765449631246e-50,1.62752374119658e-46,4
RPL37,8.31999208930649e-50,2.26631591114683e-46,5
RPL34,9.05973282325301e-50,2.34682609813556e-46,5
RPL4,9.06900767449322e-50,2.34682609813556e-46,5
