,combinedPval,adjustedPval
MMP2,3.57108059399443e-27,2.05519846035536e-24
ATP5PF,3.78656240394642e-27,2.16847572253343e-24
PRDX3,6.12234748850761e-27,3.48893831909495e-24
NDUFC2,6.93844988608248e-27,3.93472222592706e-24
USMG5,7.67385772622193e-27,4.33063923666011e-24
EEF1D,7.80230176259565e-27,4.38185378025723e-24
PURH,8.386146054901e-27,4.68710379080352e-24
COL12A1,8.80361280201489e-27,4.8968875461722e-24
SPARC,8.93180784852803e-27,4.94453619526367e-24
UQCRFS1,1.3427656607378e-26,7.39815208009977e-24
COL3A1,1.43762677476635e-26,7.88344015857638e-24
PDIA3,1.56829868284802e-26,8.55962341205443e-24
MDH1,1.57812678139558e-26,8.57301533064545e-24
ATOX1,1.64559486305124e-26,8.89794970768394e-24
ITM2B,1.66412799617438e-26,8.95650266491482e-24
SMPX,1.75645575470918e-26,9.40985571272561e-24
NDUFA13,1.95795679776497e-26,1.0441240396087e-23
ENSGALG00000051266,2.03990252183854e-26,1.08285619056129e-23
KDELR3,2.25681755199039e-26,1.1925572957622e-23
TUBA1B,2.72380896496706e-26,1.43281412732715e-23
PGAM1,2.86216019305388e-26,1.4988095321857e-23
SFRP2,4.6061646890547e-26,2.37992037578236e-23
HAPLN1,4.58757649049566e-26,2.37992037578236e-23
ENSGALG00000021692,4.56585668573946e-26,2.37992037578236e-23
OXCT1,5.00586821257647e-26,2.57499539349815e-23
TMED3,5.86742244599668e-26,3.00487897100323e-23
SSR1,5.99011147008089e-26,3.05425673995641e-23
ENY2,8.21459697959039e-26,4.17019403259935e-23
PFDN1,9.25588735259187e-26,4.67838230277412e-23
TNNI1,9.88236851126589e-26,4.97341326511783e-23
SH3BGRL,9.92548939791971e-26,4.97358367178037e-23
TPM1,1.07200961793026e-25,5.34870005853664e-23
UQCR11,1.0905330812613e-25,5.41786863526131e-23
HSP90B1,1.10151374317352e-25,5.44913467313187e-23
NPPA,1.15364955759887e-25,5.68286559322422e-23
TXN,1.3093300200018e-25,6.42253179667913e-23
SNRPF,1.42642198851065e-25,6.96749316815805e-23
SNRPG,2.12109924961641e-25,1.03173597280839e-22
ATP5PB,2.13083226199233e-25,1.03215163672535e-22
ATP5F1C,2.33125621534328e-25,1.11990226939727e-22
FABP5,2.32847908394496e-25,1.11990226939727e-22
MAP1B,2.43722118985641e-25,1.16598820027294e-22
TOMM7,2.46333610322534e-25,1.17365196262416e-22
MINOS1,2.94696116395504e-25,1.39834331941914e-22
